	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
940	10	200	10	0.036	1	0.34762	0.9973	0.00038309	2.6894	0.059958	0.049225	0.14932	2.4305	6775.8	0.9969	0.00046085	2.6473	0	0	0	0	0	0	0	0	6	15	979
958	10	200	11	0.036	1	0.384288	0.9905	0.002202	1.7552	0.065541	0.062326	0.10676	1.5201	3774.7	0.9891	0.0022334	1.3685	0	0	0	0	0	2	4	5	8	38	943
976	10	200	12	0.036	1	0.394228	0.9736	0.0056287	0.93013	0.069102	0.058019	0.061702	0.74094	2057.9	0.9705	0.0063861	0.93392	0	0	0	1	1	3	5	18	34	94	844
994	10	250	6	0.036	1	0.294691	1.0	0.0	17.826	0.063569	0.018338	1.0267	16.716	44379.0	1.0	0.0	17.559	0	0	0	0	0	0	0	0	0	0	1000
1012	10	250	7	0.036	1	0.331725	1.0	0.0	12.968	0.070702	0.020545	0.64014	12.236	32746.0	1.0	0.0	12.812	0	0	0	0	0	0	0	0	0	0	1000
1030	10	250	8	0.036	1	0.352514	1.0	0.0	7.7939	0.075852	0.043885	0.45574	7.2173	21779.0	1.0	0.0	7.214	0	0	0	0	0	0	0	0	0	0	1000
1048	10	250	9	0.036	1	0.418505	0.9998	1.998e-05	4.957	0.079865	0.066523	0.30917	4.5006	13327.0	0.9997	4.996e-05	4.4059	0	0	0	0	0	0	0	0	0	2	998
1066	10	250	10	0.036	1	0.422718	0.9986	0.00027832	3.1739	0.077449	0.0666	0.19029	2.8391	7912.4	0.9981	0.0003067	3.5112	0	0	0	0	0	0	1	0	1	8	990
1084	10	250	11	0.036	1	0.450668	0.9945	0.001201	1.9085	0.083268	0.066986	0.13899	1.6188	4477.9	0.9938	0.00096252	1.8311	0	0	0	0	0	1	3	1	3	29	963
1102	10	250	12	0.036	1	0.457005	0.983	0.004035	1.1208	0.089355	0.068145	0.076327	0.88659	2463.7	0.9802	0.0043924	1.1141	0	0	0	1	1	3	3	9	20	63	900
1120	10	300	6	0.036	1	0.377979	1.0	0.0	18.107	0.073748	0.021574	1.1826	16.828	46949.0	1.0	0.0	18.608	0	0	0	0	0	0	0	0	0	0	1000
1138	10	300	7	0.036	1	0.394565	1.0	0.0	14.068	0.077048	0.026235	0.75852	13.205	35301.0	1.0	0.0	14.0	0	0	0	0	0	0	0	0	0	0	1000
1156	10	300	8	0.036	1	0.424957	1.0	0.0	8.4002	0.086473	0.054008	0.51514	7.7436	23815.0	1.0	0.0	7.8412	0	0	0	0	0	0	0	0	0	0	1000
1174	10	300	9	0.036	1	0.449338	1.0	0.0	5.9732	0.087979	0.07456	0.3618	5.4481	14956.0	1.0	0.0	5.8579	0	0	0	0	0	0	0	0	0	0	1000
1192	10	300	10	0.036	1	0.487505	0.9996	5.99e-05	3.5989	0.1088	0.092912	0.25306	3.1435	8884.7	0.9995	6.982e-05	3.0703	0	0	0	0	0	0	0	0	1	2	997
1210	10	300	11	0.036	1	0.54171	0.9964	0.00088793	2.2324	0.10187	0.075468	0.17733	1.8773	5111.4	0.9963	0.00075707	2.1298	0	0	0	0	1	0	1	1	3	17	977
1228	10	300	12	0.036	1	0.574996	0.9893	0.0019775	1.3197	0.1117	0.085697	0.092642	1.0293	2844.6	0.9858	0.0030814	1.334	0	0	0	0	0	1	2	6	11	54	926
1246	10	350	6	0.036	1	0.428391	1.0	0.0	19.624	0.077452	0.022715	1.2807	18.242	48445.0	1.0	0.0	19.424	0	0	0	0	0	0	0	0	0	0	1000
1264	10	350	7	0.036	1	0.455799	1.0	0.0	15.401	0.096725	0.032407	1.0356	14.235	37032.0	1.0	0.0	14.801	0	0	0	0	0	0	0	0	0	0	1000
1282	10	350	8	0.036	1	0.469351	1.0	0.0	10.819	0.1012	0.061481	0.70181	9.9529	25764.0	1.0	0.0	8.5543	0	0	0	0	0	0	0	0	0	0	1000
1300	10	350	9	0.036	1	0.489318	0.9998	1.998e-05	6.6533	0.11041	0.086243	0.40918	6.0466	16512.0	1.0	0.0	6.5223	0	0	0	0	0	0	0	0	0	2	998
1318	10	350	10	0.036	1	0.542927	0.9994	7.972e-05	4.0799	0.11345	0.087494	0.27507	3.6033	9848.0	0.9995	6.982e-05	4.2253	0	0	0	0	0	0	0	0	1	4	995
1336	10	350	11	0.036	1	0.552528	0.9976	0.00039463	2.4642	0.11258	0.10445	0.19865	2.0481	5726.2	0.9965	0.00055831	2.3792	0	0	0	0	0	0	0	1	5	11	983
1354	10	350	12	0.036	1	0.595917	0.9917	0.0015226	1.569	0.13412	0.11227	0.15013	1.172	3190.4	0.991	0.0015606	1.4599	0	0	0	0	0	0	3	3	11	40	943
1372	10	400	6	0.036	1	0.472987	1.0	0.0	19.811	0.08701	0.025333	1.326	18.371	49275.0	1.0	0.0	19.657	0	0	0	0	0	0	0	0	0	0	1000
1390	10	400	7	0.036	1	0.491339	1.0	0.0	15.522	0.10159	0.03508	0.94226	14.442	38563.0	1.0	0.0	15.361	0	0	0	0	0	0	0	0	0	0	1000
1408	10	400	8	0.036	1	0.505558	1.0	0.0	10.882	0.11573	0.068067	0.65223	10.044	27140.0	1.0	0.0	10.735	0	0	0	0	0	0	0	0	0	0	1000
1426	10	400	9	0.036	1	0.564566	1.0	0.0	7.2402	0.12226	0.10094	0.47155	6.5445	17572.0	1.0	0.0	7.0811	0	0	0	0	0	0	0	0	0	0	1000
1444	10	400	10	0.036	1	0.619568	0.9998	1.998e-05	4.1984	0.13349	0.11813	0.3266	3.6195	10744.0	0.9996	5.99e-05	3.724	0	0	0	0	0	0	0	0	0	2	998
1462	10	400	11	0.036	1	0.644733	0.9984	0.0002577	2.7966	0.14108	0.1174	0.22966	2.308	6311.1	0.9986	0.00021826	2.6948	0	0	0	0	0	0	0	0	5	6	989
1480	10	400	12	0.036	1	0.657176	0.9936	0.0011602	1.7121	0.14433	0.11988	0.17344	1.274	3532.3	0.9922	0.0016808	1.6146	0	0	0	0	0	0	1	4	10	28	957
1498	10	500	6	0.036	1	0.521448	1.0	0.0	21.354	0.10651	0.031942	1.7015	19.513	51407.0	1.0	0.0	21.194	0	0	0	0	0	0	0	0	0	0	1000
1516	10	500	7	0.036	1	0.588771	1.0	0.0	16.895	0.12664	0.042999	1.1583	15.566	41582.0	1.0	0.0	16.662	0	0	0	0	0	0	0	0	0	0	1000
1534	10	500	8	0.036	1	0.649513	1.0	0.0	12.269	0.1397	0.085131	0.79002	11.253	30062.0	1.0	0.0	12.089	0	0	0	0	0	0	0	0	0	0	1000
1552	10	500	9	0.036	1	0.644595	1.0	0.0	8.2728	0.16071	0.12325	0.59929	7.3886	19813.0	1.0	0.0	8.0136	0	0	0	0	0	0	0	0	0	0	1000
1570	10	500	10	0.036	1	0.734318	0.9999	1e-05	5.1898	0.16475	0.14689	0.3885	4.4885	12321.0	0.9998	1.998e-05	5.084	0	0	0	0	0	0	0	0	0	1	999
1588	10	500	11	0.036	1	0.773019	0.9992	7.9439e-05	3.2593	0.16952	0.15631	0.30154	2.6314	7265.0	0.9994	5.97e-05	3.135	0	0	0	0	0	0	0	0	0	8	992
1606	10	500	12	0.036	1	0.816158	0.9964	0.00062767	2.1432	0.19208	0.17401	0.24204	1.5346	4172.5	0.996	0.00068468	1.963	0	0	0	0	0	0	0	4	2	20	974
