k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 25 10000 2.9289 0.995 0.00075576 1.2203 0.9967 0.00041953 1.2378 0 0 0 0 0 0 1 1 5 33 960 
10 25 20000 2.9289 0.9995 4.98e-05 2.0706 0.9996 3.988e-05 2.071 0 0 0 0 0 0 0 0 0 5 995 
10 25 40000 2.9289 1 0 3.8434 1 0 3.8248 0 0 0 0 0 0 0 0 0 0 1000 
10 25 100000 2.9289 1 0 8.9787 1 0 8.9401 0 0 0 0 0 0 0 0 0 0 1000 
10 25 200000 2.9289 1 0 16.406 1 0 16.53 0 0 0 0 0 0 0 0 0 0 1000 
10 25 400000 2.9289 1 0 30.016 1 0 32.831 0 0 0 0 0 0 0 0 0 0 1000 
10 50 25 6.22707 0.8865 0.027375 0.24696 0.8907 0.027231 0.24971 0 2 1 8 22 34 35 64 104 211 519 
10 50 50 6.2271 0.8865 0.027375 0.243 0.8907 0.027231 0.24511 0 2 1 8 22 34 35 64 104 211 519 
10 50 100 6.2271 0.8865 0.027375 0.24874 0.8907 0.027231 0.25375 0 2 1 8 22 34 35 64 104 211 519 
10 50 200 6.2271 0.8865 0.027375 0.24337 0.8907 0.027231 0.24562 0 2 1 8 22 34 35 64 104 211 519 
10 50 400 6.2271 0.8903 0.026142 0.24885 0.8935 0.026835 0.251 0 2 1 7 20 31 35 63 103 212 526 
10 50 1000 6.2271 0.9464 0.011799 0.36819 0.9477 0.011646 0.36779 0 0 0 3 5 9 13 33 60 169 708 
10 50 2000 6.2271 0.9709 0.0066298 0.50235 0.9717 0.0064155 0.50346 0 0 0 2 2 4 5 15 41 98 833 
10 50 4000 6.2271 0.9849 0.0032653 0.69593 0.9863 0.0027851 0.69865 0 0 0 1 1 1 2 7 20 64 904 
10 50 10000 6.2271 0.9948 0.00095391 1.1681 0.996 0.00062462 1.1684 0 0 0 0 0 1 1 1 4 32 961 
10 50 20000 6.2271 0.998 0.00037638 1.8352 0.9991 0.0001093 1.8468 0 0 0 0 0 0 1 0 3 10 986 
10 50 40000 6.2271 0.9999 1e-05 3.1879 1 0 3.1938 0 0 0 0 0 0 0 0 0 1 999 
10 50 100000 6.2271 1 0 7.4332 1 0 7.3734 0 0 0 0 0 0 0 0 0 0 1000 
10 50 200000 6.2271 1 0 14.101 1 0 14.142 0 0 0 0 0 0 0 0 0 0 1000 
10 50 400000 6.2271 1 0 26.368 1 0 28.019 0 0 0 0 0 0 0 0 0 0 1000 
10 100 25 11.5636 0.9067 0.022367 0.29694 0.909 0.022622 0.29976 0 1 2 5 14 24 31 48 109 183 583 
10 100 50 11.564 0.9067 0.022367 0.2963 0.909 0.022622 0.29984 0 1 2 5 14 24 31 48 109 183 583 
10 100 100 11.564 0.9067 0.022367 0.29646 0.909 0.022622 0.29939 0 1 2 5 14 24 31 48 109 183 583 
10 100 200 11.564 0.9067 0.022367 0.29795 0.909 0.022622 0.30163 0 1 2 5 14 24 31 48 109 183 583 
10 100 400 11.564 0.91 0.021001 0.30011 0.911 0.022001 0.30241 0 1 2 4 12 21 31 48 108 186 587 
10 100 1000 11.564 0.9531 0.010161 0.41934 0.9528 0.010723 0.42401 0 0 0 4 3 4 12 27 61 152 737 
10 100 2000 11.564 0.9751 0.0052953 0.54577 0.975 0.0049199 0.55295 0 0 0 2 2 0 4 14 33 99 846 
10 100 4000 11.564 0.9859 0.0028941 0.73649 0.9882 0.0019227 0.7385 0 0 0 1 0 2 1 5 22 61 908 
10 100 10000 11.564 0.994 0.0011451 1.1682 0.9962 0.00060617 1.1764 0 0 0 0 0 1 1 2 7 31 958 
10 100 20000 11.564 0.9974 0.00059383 1.7668 0.9989 0.0001089 1.7719 0 0 0 0 0 1 0 1 4 10 984 
10 100 40000 11.564 0.999 0.00017918 2.8678 0.9996 3.988e-05 2.8753 0 0 0 0 0 0 0 1 1 5 993 
10 100 100000 11.564 1 0 6.3189 1 0 6.2561 0 0 0 0 0 0 0 0 0 0 1000 
10 100 200000 11.564 1 0 12.202 1 0 12.132 0 0 0 0 0 0 0 0 0 0 1000 
10 100 400000 11.564 1 0 23.622 1 0 24.064 0 0 0 0 0 0 0 0 0 0 1000 
10 200 25 23.5267 0.9148 0.020642 0.41574 0.9218 0.019504 0.41904 0 2 1 3 10 25 26 48 105 162 618 
10 200 50 23.527 0.9148 0.020642 0.40817 0.9218 0.019504 0.40645 0 2 1 3 10 25 26 48 105 162 618 
10 200 100 23.527 0.9148 0.020642 0.40219 0.9218 0.019504 0.4038 0 2 1 3 10 25 26 48 105 162 618 
10 200 200 23.527 0.9148 0.020642 0.54728 0.9218 0.019504 0.51149 0 2 1 3 10 25 26 48 105 162 618 
10 200 400 23.527 0.9174 0.019697 0.51755 0.9234 0.019232 0.51783 0 1 1 4 9 23 26 47 102 163 624 
10 200 1000 23.527 0.9558 0.0099163 0.67865 0.956 0.010635 0.6817 0 0 0 3 3 4 18 19 59 136 758 
10 200 2000 23.527 0.9765 0.0049427 0.84804 0.9773 0.0043991 0.85415 0 0 0 2 1 2 3 8 38 93 853 
10 200 4000 23.527 0.9869 0.0029013 1.0887 0.9869 0.0024408 1.0918 0 0 0 2 0 1 1 4 18 60 914 
10 200 10000 23.527 0.9941 0.0011964 1.6146 0.9954 0.0005594 1.6117 0 0 0 0 0 2 1 0 6 33 958 
10 200 20000 23.527 0.9966 0.00058903 2.2799 0.9979 0.00022582 2.2878 0 0 0 0 0 0 1 1 4 19 975 
