k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 6.84624 0.006 0.0005697 0.014846 0 0 0.014455
10 1 2 6.8462 0.007 0.0008596 0.014868 0.001 0.0001 0.014531
10 1 3 6.8462 0.01 0.0011111 0.015375 0.002 0.00019798 0.015085
10 1 4 6.8462 0.011 0.0011909 0.015306 0.003 0.00029394 0.015229
10 1 5 6.8462 0.011 0.0011909 0.015505 0.006 0.0005697 0.015419
10 1 8 6.8462 0.012 0.0012687 0.016541 0.007 0.00065758 0.016519
10 1 10 6.8462 0.013 0.0013444 0.016874 0.008 0.00094545 0.016737
10 1 12 6.8462 0.015 0.0014899 0.017771 0.009 0.0010293 0.017853
10 1 20 6.8462 0.017 0.0016273 0.019977 0.01 0.0011111 0.020328
10 1 25 6.8462 0.017 0.0016273 0.02084 0.01 0.0011111 0.020729
10 1 50 6.8462 0.017 0.0016273 0.021843 0.01 0.0011111 0.021646
10 1 75 6.8462 0.017 0.0016273 0.022458 0.01 0.0011111 0.022371
10 1 100 6.8462 0.017 0.0016273 0.023113 0.01 0.0011111 0.022925
10 1 250 6.8462 0.017 0.0016273 0.026445 0.01 0.0011111 0.026331
10 1 500 6.8462 0.017 0.0016273 0.032403 0.01 0.0011111 0.032381
10 2 1 6.8462 0.006 0.0005697 0.014423 0.001 0.0001 0.014238
10 2 2 6.8462 0.01 0.00090909 0.014715 0.002 0.00019798 0.014508
10 2 3 6.8462 0.012 0.0010667 0.014899 0.006 0.0005697 0.014797
10 2 4 6.8462 0.014 0.0014182 0.015475 0.007 0.00065758 0.015019
10 2 5 6.8462 0.015 0.0014899 0.015688 0.007 0.00065758 0.015316
10 2 8 6.8462 0.018 0.0016929 0.016837 0.009 0.00082727 0.016799
10 2 10 6.8462 0.021 0.0020798 0.017505 0.011 0.00098889 0.017562
10 2 12 6.8462 0.021 0.0020798 0.0184 0.011 0.00098889 0.018478
10 2 20 6.8462 0.026 0.0023475 0.021946 0.016 0.0015596 0.02214
10 2 25 6.8462 0.026 0.0023475 0.024137 0.018 0.0016929 0.024015
10 2 50 6.8462 0.029 0.0024838 0.029088 0.018 0.0016929 0.029238
10 2 75 6.8462 0.029 0.0024838 0.029823 0.018 0.0016929 0.029945
10 2 100 6.8462 0.029 0.0024838 0.030518 0.018 0.0016929 0.03067
10 2 250 6.8462 0.029 0.0024838 0.034423 0.018 0.0016929 0.034608
10 2 500 6.8462 0.029 0.0024838 0.040717 0.018 0.0016929 0.040754
10 4 1 6.8462 0.008 0.00094545 0.014781 0.004 0.00038788 0.014506
10 4 2 6.8462 0.013 0.0017485 0.01493 0.004 0.00038788 0.014793
10 4 3 6.8462 0.016 0.0019636 0.015218 0.005 0.0004798 0.015104
10 4 4 6.8462 0.016 0.0019636 0.015523 0.01 0.00090909 0.015359
10 4 5 6.8462 0.019 0.0023626 0.01608 0.01 0.00090909 0.015693
10 4 8 6.8462 0.021 0.0024838 0.017037 0.015 0.0012879 0.017003
10 4 10 6.8462 0.023 0.002597 0.018096 0.016 0.0013576 0.017869
10 4 12 6.8462 0.025 0.002702 0.019047 0.016 0.0013576 0.018873
10 4 20 6.8462 0.031 0.0033727 0.022591 0.021 0.0016758 0.022848
10 4 25 6.8462 0.033 0.0034455 0.02603 0.024 0.0020444 0.025227
10 4 50 6.8462 0.04 0.0042424 0.034844 0.033 0.0024354 0.034597
10 4 75 6.8462 0.043 0.0042939 0.041783 0.036 0.0029333 0.041928
10 4 100 6.8462 0.044 0.0045091 0.043974 0.036 0.0029333 0.044387
10 4 250 6.8462 0.044 0.0045091 0.048882 0.036 0.0029333 0.049385
10 4 500 6.8462 0.044 0.0045091 0.056156 0.036 0.0029333 0.056663
10 8 1 6.8462 0.005 0.0004798 0.01564 0.003 0.00029394 0.015053
10 8 2 6.8462 0.009 0.0010293 0.015409 0.004 0.00038788 0.015301
10 8 3 6.8462 0.014 0.0018222 0.015728 0.005 0.0004798 0.015609
10 8 4 6.8462 0.015 0.0018939 0.016257 0.006 0.0005697 0.015877
10 8 5 6.8462 0.016 0.0019636 0.016498 0.008 0.00074343 0.016249
10 8 8 6.8462 0.02 0.0024242 0.017692 0.014 0.0014182 0.017637
10 8 10 6.8462 0.025 0.002702 0.018748 0.016 0.0015596 0.018542
10 8 12 6.8462 0.027 0.003001 0.019523 0.019 0.0019586 0.019573
10 8 20 6.8462 0.032 0.0038141 0.023607 0.021 0.0022818 0.023842
10 8 25 6.8462 0.036 0.0047515 0.026307 0.022 0.0023394 0.026161
10 8 50 6.8462 0.047 0.0053444 0.037114 0.037 0.0035667 0.036924
10 8 75 6.8462 0.055 0.0061364 0.047024 0.047 0.0041323 0.046697
10 8 100 6.8462 0.059 0.0062818 0.056753 0.054 0.0049333 0.05606
10 8 250 6.8462 0.069 0.0068071 0.077423 0.056 0.0053172 0.076497
10 8 500 6.8462 0.069 0.0068071 0.086634 0.056 0.0053172 0.085647
10 16 1 6.8462 0.005 0.0004798 0.016628 0.002 0.00019798 0.015898
10 16 2 6.8462 0.011 0.0013929 0.016608 0.004 0.00038788 0.01619
10 16 3 6.8462 0.013 0.0015465 0.016808 0.006 0.0005697 0.016492
10 16 4 6.8462 0.016 0.0021657 0.016911 0.007 0.00065758 0.016808
10 16 5 6.8462 0.019 0.0023626 0.017365 0.007 0.00065758 0.0172
10 16 8 6.8462 0.026 0.0027515 0.018893 0.012 0.0012687 0.018677
10 16 10 6.8462 0.03 0.0033333 0.019762 0.014 0.0014182 0.019605
10 16 12 6.8462 0.033 0.0036475 0.020612 0.016 0.0015596 0.020702
10 16 20 6.8462 0.044 0.0051152 0.024914 0.024 0.0034586 0.025104
10 16 25 6.8462 0.048 0.0051475 0.027726 0.027 0.0040111 0.02762
10 16 50 6.8462 0.066 0.0073172 0.039573 0.045 0.0049242 0.039379
10 16 75 6.8462 0.076 0.0083071 0.050639 0.055 0.0061364 0.050333
10 16 100 6.8462 0.085 0.0085606 0.061412 0.062 0.0064202 0.061962
10 16 250 6.8462 0.116 0.010853 0.11921 0.089 0.0082616 0.11801
10 16 500 6.8462 0.118 0.011188 0.14325 0.093 0.0085364 0.1413
10 32 1 6.8462 0.004 0.00038788 0.018233 0.001 0.0001 0.017563
10 32 2 6.8462 0.009 0.0010293 0.017949 0.004 0.00038788 0.017882
10 32 3 6.8462 0.011 0.0013929 0.018463 0.005 0.0004798 0.01821
10 32 4 6.8462 0.012 0.0014707 0.019063 0.008 0.00074343 0.018584
10 32 5 6.8462 0.016 0.0021657 0.019161 0.009 0.00082727 0.018913
10 32 8 6.8462 0.024 0.0028525 0.020431 0.012 0.0012687 0.020473
10 32 10 6.8462 0.027 0.003001 0.021497 0.018 0.0018949 0.021468
