k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 25 0.335951 0.013 0.0013444 0.013145 0.005 0.0004798 0.012929
10 1 50 0.33595 0.013 0.0013444 0.012992 0.005 0.0004798 0.012689
10 1 100 0.33595 0.013 0.0013444 0.012914 0.005 0.0004798 0.012628
10 1 200 0.33595 0.013 0.0013444 0.012989 0.005 0.0004798 0.012809
10 1 400 0.33595 0.018 0.0018949 0.021881 0.012 0.0010667 0.019173
10 1 1000 0.33595 0.026 0.0023475 0.040511 0.024 0.0020444 0.040129
10 1 2000 0.33595 0.045 0.0037121 0.07529 0.04 0.0032323 0.076776
10 1 4000 0.33595 0.072 0.0060768 0.14427 0.072 0.0068848 0.14624
10 1 10000 0.33595 0.163 0.014072 0.35842 0.164 0.01162 0.36037
10 1 20000 0.33595 0.28 0.020202 0.74429 0.291 0.016989 0.72899
10 1 40000 0.33595 0.516 0.024792 1.4905 0.507 0.021264 1.477
10 1 100000 0.33595 1 0 3.4649 1 0 3.4183
10 1 200000 0.33595 1 0 3.3953 1 0 3.3881
10 1 400000 0.33595 1 0 3.3884 1 0 3.3924
10 5 25 1.10508 0.008 0.00074343 0.013475 0.007 0.00065758 0.012981
10 5 50 1.1051 0.008 0.00074343 0.01343 0.007 0.00065758 0.01291
10 5 100 1.1051 0.008 0.00074343 0.013312 0.007 0.00065758 0.012851
10 5 200 1.1051 0.008 0.00074343 0.013344 0.007 0.00065758 0.012858
10 5 400 1.1051 0.012 0.0010667 0.020404 0.012 0.0012687 0.019894
10 5 1000 1.1051 0.027 0.0019909 0.04082 0.024 0.0024485 0.040903
10 5 2000 1.1051 0.061 0.0054333 0.075777 0.049 0.0055545 0.074441
10 5 4000 1.1051 0.094 0.0092566 0.14238 0.077 0.0080515 0.1421
10 5 10000 1.1051 0.196 0.016954 0.35347 0.188 0.014804 0.35088
10 5 20000 1.1051 0.311 0.019373 0.68499 0.324 0.01962 0.69288
10 5 40000 1.1051 0.514 0.023842 1.3159 0.509 0.024464 1.3062
10 5 100000 1.1051 0.805 0.019672 2.6444 0.798 0.016158 2.6392
10 5 200000 1.1051 0.97 0.0033333 3.7202 0.968 0.0030061 3.7303
10 5 400000 1.1051 1 0 5.003 1 0 5.0103
10 10 25 2.10566 0.01 0.0011111 0.013904 0.011 0.00098889 0.013401
10 10 50 2.1057 0.01 0.0011111 0.01371 0.011 0.00098889 0.013219
10 10 100 2.1057 0.01 0.0011111 0.01365 0.011 0.00098889 0.013175
10 10 200 2.1057 0.01 0.0011111 0.013662 0.011 0.00098889 0.013217
10 10 400 2.1057 0.017 0.0016273 0.020786 0.014 0.0012162 0.020884
10 10 1000 2.1057 0.029 0.0022818 0.041482 0.019 0.0017566 0.041076
10 10 2000 2.1057 0.053 0.0043343 0.078015 0.042 0.0044808 0.075986
10 10 4000 2.1057 0.104 0.0094788 0.14422 0.086 0.0088929 0.14404
10 10 10000 2.1057 0.201 0.015049 0.34664 0.178 0.017087 0.35193
10 10 20000 2.1057 0.355 0.018056 0.67787 0.336 0.021519 0.68425
10 10 40000 2.1057 0.518 0.018865 1.2901 0.527 0.019971 1.2955
10 10 100000 2.1057 0.82 0.011313 2.5069 0.824 0.015176 2.5089
10 10 200000 2.1057 0.958 0.0040768 3.6315 0.954 0.0039232 3.6267
10 10 400000 2.1057 1 0 4.9351 0.999 0.0001 4.9363
10 25 25 5.07318 0.006 0.0005697 0.014676 0.013 0.0011424 0.014237
10 25 50 5.0732 0.006 0.0005697 0.014339 0.013 0.0011424 0.014008
10 25 100 5.0732 0.006 0.0005697 0.014697 0.013 0.0011424 0.014001
10 25 200 5.0732 0.006 0.0005697 0.014286 0.013 0.0011424 0.014
10 25 400 5.0732 0.014 0.0016202 0.026743 0.018 0.0014909 0.02401
10 25 1000 5.0732 0.03 0.0029293 0.043474 0.028 0.0020364 0.042778
10 25 2000 5.0732 0.048 0.0045414 0.078092 0.046 0.0035192 0.077448
10 25 4000 5.0732 0.088 0.0073293 0.14644 0.075 0.0071465 0.14607
