k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4 100 10 0.894732 0.019 0.0017566 0.0029441 0.018 0.0018949 0.00211
10 4 100 20 0.89473 0.034 0.0034788 0.0031168 0.041 0.0036556 0.0030511
10 4 100 40 0.89473 0.057 0.0061121 0.0053138 0.071 0.0059182 0.0052791
10 4 100 60 0.89473 0.089 0.010282 0.007598 0.092 0.0078141 0.0075535
10 4 100 80 0.89473 0.114 0.012529 0.0099736 0.125 0.012197 0.0099219
10 4 100 100 0.89473 0.136 0.015459 0.01251 0.152 0.01444 0.012454
10 4 100 120 0.89473 0.157 0.019647 0.01514 0.169 0.01408 0.015067
10 4 100 200 0.89473 0.231 0.027413 0.027085 0.223 0.018153 0.026565
10 4 100 400 0.89473 0.318 0.029774 0.062929 0.329 0.024504 0.066553
10 4 100 600 0.89473 0.375 0.028763 0.12114 0.398 0.028885 0.1147
10 4 100 800 0.89473 0.407 0.029748 0.16518 0.453 0.028173 0.17758
10 4 100 1000 0.89473 0.447 0.029789 0.25264 0.482 0.026945 0.25125
10 4 100 1200 0.89473 0.475 0.028763 0.32753 0.515 0.025732 0.32833
10 4 100 1500 0.89473 0.516 0.029034 0.46515 0.546 0.026145 0.46506
10 4 100 2000 0.89473 0.561 0.026645 0.8647 0.583 0.027284 0.78253
10 4 500 10 2.9031 0.011 0.0011909 0.0030585 0.01 0.00090909 0.002267
10 4 500 20 2.9031 0.035 0.0031061 0.0034024 0.023 0.0017889 0.003298
10 4 500 40 2.9031 0.056 0.0049131 0.0056428 0.062 0.0054101 0.0055813
10 4 500 60 2.9031 0.092 0.0057939 0.008618 0.092 0.0084202 0.008206
10 4 500 80 2.9031 0.128 0.0089051 0.010508 0.13 0.010808 0.010446
10 4 500 100 2.9031 0.144 0.011378 0.013257 0.161 0.014524 0.013228
10 4 500 120 2.9031 0.161 0.012706 0.016875 0.182 0.019067 0.016003
10 4 500 200 2.9031 0.227 0.018153 0.029218 0.262 0.021168 0.028233
10 4 500 400 2.9031 0.349 0.02212 0.070791 0.396 0.027257 0.070544
10 4 500 600 2.9031 0.428 0.024461 0.12593 0.483 0.025264 0.12835
10 4 500 800 2.9031 0.496 0.027863 0.20003 0.527 0.025627 0.17364
10 4 500 1000 2.9031 0.544 0.025115 0.24223 0.565 0.024318 0.26308
10 4 500 1200 2.9031 0.572 0.025067 0.34195 0.595 0.025732 0.35109
10 4 500 1500 2.9031 0.612 0.022683 0.51452 0.638 0.025208 0.52723
10 4 500 2000 2.9031 0.653 0.020294 0.87909 0.688 0.022683 0.87611
10 8 100 10 2.1734 0.031 0.0029687 0.0048797 0.035 0.0037121 0.0040109
10 8 100 20 2.1734 0.057 0.004698 0.0061591 0.073 0.0058293 0.00607
10 8 100 40 2.1734 0.103 0.0079707 0.01118 0.136 0.011014 0.011189
10 8 100 60 2.1734 0.16 0.012525 0.017053 0.19 0.01303 0.016568
