k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 0.001 7.1503 0.7561 0.062185 0.15959 0 0.0024677 0.015182 0.14162 375.68 58000 100 100 0.7606 0.06203 0.16116 13 19 27 34 38 55 83 117 153 192 269 
10 5 12 0.036 10 1 0.001375 7.1503 0.7041 0.071705 0.11708 0 0.0023852 0.015077 0.099315 260.04 58000 100 100 0.7072 0.07232 0.1203 23 28 31 49 42 79 102 121 145 178 202 
10 5 12 0.036 10 1 0.00175 7.1503 0.6582 0.078992 0.096881 0 0.0023341 0.01966 0.074578 190.32 58000 100 100 0.6647 0.078122 0.091626 34 32 45 63 53 88 107 117 145 162 154 
10 5 12 0.036 10 1 0.0025 7.1503 0.5764 0.087571 0.062176 0 0.0020314 0.014232 0.045592 111.91 58000 100 100 0.5854 0.087414 0.060402 61 50 62 78 76 105 109 112 129 123 95 
10 5 12 0.036 10 1 0.00375 7.1503 0.4503 0.090651 0.037496 0 0.001791 0.012888 0.022518 51.835 58000 100 100 0.4626 0.089651 0.03627 131 79 81 116 108 88 89 107 90 71 40 
10 5 12 0.036 10 1 0.005 7.1503 0.3593 0.082396 0.028272 0 0.0016882 0.01264 0.013625 29.322 58000 100 100 0.3655 0.083043 0.027676 185 122 106 121 107 86 77 76 56 44 20 
10 5 12 0.036 10 1 0.0075 7.1503 0.2164 0.057328 0.019727 0 0.0016982 0.011997 0.0056715 10.484 58000 100 100 0.2207 0.062264 0.019102 358 166 128 77 84 70 40 47 19 6 5 
10 5 12 0.036 10 1 0.01 7.1503 0.1293 0.035347 0.016387 0 0.0017148 0.01158 0.0027414 4.446 58000 100 100 0.1299 0.036933 0.015278 525 177 88 70 54 36 29 13 4 3 1 
10 5 13 0.036 10 1 1e-07 8.30866 0.6983 0.074201 0.12633 0 0.0031401 0.0148 0.10818 284.25 58000 100 100 0.7245 0.072402 0.12436 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1.375e-07 8.3087 0.6983 0.074201 0.12278 0 0.0028496 0.013333 0.10629 284.25 58000 100 100 0.7245 0.072402 0.12291 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1.75e-07 8.3087 0.6983 0.074201 0.123 0 0.002847 0.013387 0.10646 284.25 58000 100 100 0.7245 0.072402 0.1229 26 26 35 42 67 76 80 133 137 174 204 
