k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 8 5 5.7188 0.8492 0.018618 0.26587 0.8567 0.019234 0.26499 0 0 0 4 3 23 63 120 216 303 268 
10 8 8 5.7188 0.909 0.013553 0.28169 0.9092 0.015251 0.27951 0 0 0 2 5 5 25 61 136 286 480 
10 8 10 5.7188 0.9243 0.012192 0.29518 0.9223 0.013927 0.29983 0 0 0 1 4 5 20 51 113 242 564 
10 8 12 5.7188 0.9321 0.011551 0.30155 0.9307 0.01296 0.29894 0 0 0 1 4 5 17 43 106 214 610 
10 8 20 5.7188 0.9409 0.010768 0.33839 0.939 0.012091 0.3366 0 0 0 1 4 3 17 38 90 183 664 
10 8 25 5.7188 0.9412 0.010753 0.37147 0.9397 0.012046 0.36048 0 0 0 1 4 3 17 38 89 182 666 
10 8 50 5.7188 0.9414 0.010757 0.45931 0.9401 0.012054 0.45706 0 0 0 1 4 3 17 38 89 180 668 
10 8 75 5.7188 0.9414 0.010757 0.49065 0.9401 0.012054 0.48858 0 0 0 1 4 3 17 38 89 180 668 
10 8 100 5.7188 0.9414 0.010757 0.50155 0.9401 0.012054 0.4993 0 0 0 1 4 3 17 38 89 180 668 
10 8 250 5.7188 0.9414 0.010757 0.55024 0.9401 0.012054 0.54634 0 0 0 1 4 3 17 38 89 180 668 
10 8 500 5.7188 0.9414 0.010757 0.62146 0.9401 0.012054 0.61749 0 0 0 1 4 3 17 38 89 180 668 
10 16 1 5.7188 0.4643 0.022778 0.255 0.4663 0.022657 0.24962 2 10 70 141 243 234 200 79 15 5 1 
10 16 2 5.7188 0.6577 0.026047 0.25704 0.6598 0.02579 0.25564 0 2 3 26 84 136 199 246 194 93 17 
10 16 3 5.7188 0.7591 0.022279 0.26214 0.7662 0.021779 0.25964 0 0 2 4 20 65 137 218 244 230 80 
10 16 4 5.7188 0.8269 0.017744 0.26837 0.8324 0.017848 0.2663 0 0 0 0 6 27 74 151 262 287 193 
10 16 5 5.7188 0.868 0.014931 0.27301 0.8723 0.015238 0.27189 0 0 0 0 0 14 46 114 199 326 301 
10 16 8 5.7188 0.936 0.0082322 0.28841 0.934 0.0092132 0.29255 0 0 0 0 0 2 12 34 102 276 574 
10 16 10 5.7188 0.956 0.0061502 0.29888 0.9506 0.007387 0.29657 0 0 0 0 0 2 7 20 62 218 691 
10 16 12 5.7188 0.9668 0.0047225 0.30987 0.9625 0.0055893 0.37967 0 0 0 0 0 0 5 16 47 170 762 
10 16 20 5.7188 0.9829 0.0025201 0.39973 0.9782 0.0034282 0.37868 0 0 0 0 0 0 0 11 22 94 873 
10 16 25 5.7188 0.9846 0.0022451 0.41346 0.9811 0.0031159 0.40969 0 0 0 0 0 0 0 9 20 87 884 
10 16 50 5.7188 0.9857 0.0021276 0.56785 0.9827 0.0029336 0.56576 0 0 0 0 0 0 0 9 18 80 893 
10 16 75 5.7188 0.9857 0.0021276 0.72015 0.9827 0.0029336 0.71297 0 0 0 0 0 0 0 9 18 80 893 
10 16 100 5.7188 0.9857 0.0021276 0.83797 0.9827 0.0029336 0.83601 0 0 0 0 0 0 0 9 18 80 893 
10 16 250 5.7188 0.9857 0.0021276 0.92527 0.9827 0.0029336 0.85112 0 0 0 0 0 0 0 9 18 80 893 
10 16 500 5.7188 0.9857 0.0021276 0.92625 0.9827 0.0029336 0.92145 0 0 0 0 0 0 0 9 18 80 893 
10 32 1 5.7188 0.4645 0.022793 0.26549 0.4664 0.022634 0.26316 2 10 71 138 245 233 201 79 15 5 1 
10 32 2 5.7188 0.658 0.026222 0.27579 0.6601 0.025804 0.26819 0 2 4 25 85 135 196 248 194 94 17 
10 32 3 5.7188 0.7593 0.022336 0.27531 0.7665 0.02185 0.27457 0 0 2 6 19 62 135 223 243 230 80 
10 32 4 5.7188 0.8277 0.01778 0.28158 0.8333 0.017539 0.27898 0 0 0 0 6 27 77 142 263 292 193 
10 32 5 5.7188 0.8704 0.014679 0.28902 0.8745 0.014494 0.28577 0 0 0 0 1 12 46 104 202 330 305 
10 32 8 5.7188 0.9403 0.0074133 0.30626 0.9381 0.0081666 0.31102 0 0 0 0 0 1 10 30 90 282 587 
