k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 10 6 0.045 4 0.4752 0.001 0.0001 0.0067778 1.4 0 0 0.0067539
10 10 6 0.045 5 0.4752 0 0 0.0066303 0.04 0 0 0.0065695
10 10 6 0.045 6 0.4752 0 0 0.0066352 0 0 0 0.0065971
10 10 6 0.045 7 0.4752 0 0 0.0066494 0 0 0 0.0065496
10 10 6 0.045 8 0.4752 0 0 0.006658 0 0 0 0.0066492
10 10 6 0.045 9 0.4752 0 0 0.0063862 0 0 0 0.0065514
10 10 6 0.045 10 0.4752 0 0 0.0066742 0 0 0 0.0065464
10 10 7 0.045 1 0.533132 0.13 0.011414 0.25345 7532 0.128 0.010117 0.25154
10 10 7 0.045 2 0.53313 0.01 0.00090909 0.015447 274.14 0.006 0.0005697 0.014764
10 10 7 0.045 3 0.53313 0.001 0.0001 0.0056238 6.51 0 0 0.0051807
10 10 7 0.045 4 0.53313 0 0 0.0046992 0.06 0 0 0.0047559
10 10 7 0.045 5 0.53313 0 0 0.004679 0 0 0 0.0047444
10 10 7 0.045 6 0.53313 0 0 0.0046831 0 0 0 0.0047476
10 10 7 0.045 7 0.53313 0 0 0.0046765 0 0 0 0.0047446
10 10 7 0.045 8 0.53313 0 0 0.004681 0 0 0 0.0047485
10 10 7 0.045 9 0.53313 0 0 0.0046872 0 0 0 0.0047433
10 10 7 0.045 10 0.53313 0 0 0.0047683 0 0 0 0.0048247
10 10 8 0.045 1 0.597046 0.066 0.0063071 0.12949 3833.1 0.055 0.0045202 0.12872
10 10 8 0.045 2 0.59705 0.001 0.0001 0.0074762 72.03 0 0 0.0068602
10 10 8 0.045 3 0.59705 0 0 0.0039494 0.82 0 0 0.0039115
10 10 8 0.045 4 0.59705 0 0 0.0037984 0.01 0 0 0.0038164
10 10 8 0.045 5 0.59705 0 0 0.0037928 0 0 0 0.0038013
10 10 8 0.045 6 0.59705 0 0 0.0037888 0 0 0 0.0038061
10 10 8 0.045 7 0.59705 0 0 0.0037922 0 0 0 0.0038007
10 10 8 0.045 8 0.59705 0 0 0.0037925 0 0 0 0.0038049
10 10 8 0.045 9 0.59705 0 0 0.0037925 0 0 0 0.0038098
10 10 8 0.045 10 0.59705 0 0 0.0037905 0 0 0 0.0038009
10 25 3 0.045 1 0.565672 0.985 0.0014899 3.621 96278 0.984 0.0019636 3.5035
10 25 3 0.045 2 0.56567 0.911 0.012302 3.0367 83387 0.92 0.0076768 3.0503
10 25 3 0.045 3 0.56567 0.771 0.022888 2.2579 61734 0.769 0.017312 2.2623
10 25 3 0.045 4 0.56567 0.578 0.024562 1.4129 38226 0.568 0.028663 1.4112
10 25 3 0.045 5 0.56567 0.36 0.026465 0.75368 19779 0.348 0.022521 0.75547
10 25 3 0.045 6 0.56567 0.177 0.014718 0.37204 8600.1 0.187 0.016698 0.37268
10 25 3 0.045 7 0.56567 0.075 0.0077525 0.18325 3152.1 0.09 0.0073737 0.18532
10 25 3 0.045 8 0.56567 0.039 0.0048273 0.10037 997.64 0.038 0.0037939 0.10392
10 25 3 0.045 9 0.56567 0.009 0.0010293 0.074804 269.29 0.017 0.0018293 0.078969
10 25 3 0.045 10 0.56567 0.003 0.00029394 0.066256 61.39 0.007 0.0008596 0.071543
10 25 3 0.045 11 0.56567 0 0 0.064578 12.29 0.001 0.0001 0.069924
10 25 3 0.045 12 0.56567 0 0 0.063971 2.28 0 0 0.069724
10 25 3 0.045 13 0.56567 0 0 0.063819 0.31 0 0 0.069591
10 25 3 0.045 14 0.56567 0 0 0.063986 0.03 0 0 0.069625
10 25 3 0.045 15 0.56567 0 0 0.063774 0.01 0 0 0.069574
10 25 3 0.045 17 0.56567 0 0 0.063979 0 0 0 0.069517
10 25 3 0.045 20 0.56567 0 0 0.064185 0 0 0 0.06957
10 25 3 0.045 25 0.56567 0 0 0.063767 0 0 0 0.069561
10 25 4 0.045 1 0.639957 0.894 0.0088525 2.9047 79721 0.893 0.011365 2.86
10 25 4 0.045 2 0.63996 0.658 0.020238 1.6762 46686 0.64 0.024444 1.6758
10 25 4 0.045 3 0.63996 0.378 0.024158 0.73615 20462 0.35 0.028586 0.73708
10 25 4 0.045 4 0.63996 0.173 0.011284 0.28263 6968.3 0.16 0.014747 0.27735
10 25 4 0.045 5 0.63996 0.062 0.0058141 0.10876 1891.6 0.047 0.0047384 0.1077
10 25 4 0.045 6 0.63996 0.016 0.0013576 0.052014 427.39 0.017 0.0016273 0.052073
10 25 4 0.045 7 0.63996 0.004 0.00038788 0.037884 79.15 0.003 0.00029394 0.039899
10 25 4 0.045 8 0.63996 0.001 0.0001 0.035174 12.06 0 0 0.037548
10 25 4 0.045 9 0.63996 0 0 0.03491 1.72 0 0 0.037356
10 25 4 0.045 10 0.63996 0 0 0.034787 0.22 0 0 0.037273
10 25 4 0.045 11 0.63996 0 0 0.034714 0.02 0 0 0.037348
10 25 4 0.045 12 0.63996 0 0 0.034705 0 0 0 0.03724
10 25 4 0.045 13 0.63996 0 0 0.03478 0 0 0 0.037243
10 25 4 0.045 14 0.63996 0 0 0.034871 0 0 0 0.037224
10 25 4 0.045 15 0.63996 0 0 0.035231 0 0 0 0.037216
10 25 4 0.045 17 0.63996 0 0 0.034899 0 0 0 0.037235
10 25 4 0.045 20 0.63996 0 0 0.035445 0 0 0 0.037298
10 25 4 0.045 25 0.63996 0 0 0.034681 0 0 0 0.037193
10 25 5 0.045 1 0.760583 0.676 0.019822 2.0208 54477 0.687 0.025789 1.9876
10 25 5 0.045 2 0.76058 0.31 0.025354 0.64008 18395 0.305 0.02351 0.63994
10 25 5 0.045 3 0.76058 0.123 0.0098697 0.19986 4352.6 0.098 0.0094909 0.2031
10 25 5 0.045 4 0.76058 0.037 0.0033646 0.051948 775.26 0.023 0.0021929 0.05324
10 25 5 0.045 5 0.76058 0.006 0.0005697 0.025776 111.05 0.004 0.00038788 0.024098
10 25 5 0.045 6 0.76058 0.002 0.00019798 0.019499 12.09 0.003 0.00029394 0.020492
10 25 5 0.045 7 0.76058 0 0 0.019025 1.08 0.001 0.0001 0.020246
10 25 5 0.045 8 0.76058 0 0 0.019123 0.04 0 0 0.020136
10 25 5 0.045 9 0.76058 0 0 0.019032 0 0 0 0.02015
10 25 5 0.045 10 0.76058 0 0 0.01889 0 0 0 0.020123
10 25 5 0.045 11 0.76058 0 0 0.018895 0 0 0 0.020114
10 25 5 0.045 12 0.76058 0 0 0.018888 0 0 0 0.020111
