k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 100 20000 20.036 0.324 0.023863 0.69438 0.31 0.025556 0.70292
10 100 40000 20.036 0.523 0.026435 1.2887 0.516 0.021762 1.2896
10 100 100000 20.036 0.808 0.011046 2.4707 0.816 0.014489 2.4642
10 100 200000 20.036 0.953 0.0049404 3.6433 0.959 0.0032515 3.6306
10 100 400000 20.036 0.996 0.00038788 4.9889 0.997 0.00029394 4.9563
10 200 25 39.6889 0.011 0.0011909 0.023719 0.004 0.00038788 0.023023
10 200 50 39.689 0.011 0.0011909 0.023057 0.004 0.00038788 0.022909
10 200 100 39.689 0.011 0.0011909 0.022976 0.004 0.00038788 0.022849
10 200 200 39.689 0.011 0.0011909 0.023036 0.004 0.00038788 0.022845
10 200 400 39.689 0.019 0.0019586 0.031465 0.011 0.00098889 0.030319
10 200 1000 39.689 0.03 0.0035354 0.054705 0.028 0.0024404 0.054774
10 200 2000 39.689 0.053 0.0053444 0.091543 0.05 0.0043434 0.091396
10 200 4000 39.689 0.088 0.0069253 0.16237 0.089 0.0070495 0.164
10 200 10000 39.689 0.178 0.014461 0.37343 0.203 0.017466 0.37387
10 200 20000 39.689 0.337 0.021951 0.71629 0.349 0.02111 0.71082
10 200 40000 39.689 0.544 0.024711 1.3078 0.541 0.028908 1.3094
10 200 100000 39.689 0.832 0.016339 2.4801 0.834 0.012166 2.4901
10 200 200000 39.689 0.97 0.0027273 3.6557 0.972 0.0030465 3.6584
10 200 400000 39.689 0.999 0.0001 5.0036 0.999 0.0001 5.0038
10 400 25 79.3364 0.01 0.00090909 0.032897 0.005 0.0004798 0.031418
10 400 50 79.336 0.01 0.00090909 0.032027 0.005 0.0004798 0.031195
10 400 100 79.336 0.01 0.00090909 0.032012 0.005 0.0004798 0.031265
10 400 200 79.336 0.01 0.00090909 0.031829 0.005 0.0004798 0.031214
10 400 400 79.336 0.017 0.0014253 0.040123 0.009 0.00082727 0.039656
10 400 1000 79.336 0.033 0.0028394 0.065731 0.023 0.002597 0.066227
10 400 2000 79.336 0.05 0.0055556 0.10477 0.043 0.004496 0.10395
10 400 4000 79.336 0.091 0.0095141 0.17939 0.086 0.009297 0.18056
10 400 10000 79.336 0.205 0.016237 0.39538 0.205 0.013611 0.39576
10 400 20000 79.336 0.331 0.024787 0.74439 0.347 0.023324 0.73961
10 400 40000 79.336 0.56 0.022424 1.3409 0.566 0.021863 1.3387
10 400 100000 79.336 0.836 0.014651 2.53 0.851 0.012019 2.5215
10 400 200000 79.336 0.965 0.0035101 3.6934 0.977 0.0017889 3.6952
10 400 400000 79.336 0.999 0.0001 5.0513 1 0 5.0487
