k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 10 3 0.045 8 0.051663 0 0 0.026083 8.8274e-05 1.851e-05 0.025906 4.1886e-05 0.24 0 0 0.025949
10 10 3 0.045 9 0.051663 0 0 0.025976 8.6859e-05 1.8592e-05 0.025838 4.4275e-06 0 0 0 0.025944
10 10 3 0.045 10 0.051663 0 0 0.025967 8.7007e-05 1.8849e-05 0.025828 4.3716e-06 0 0 0 0.025927
10 10 4 0.045 1 0.0559668 0.541 0.031332 1.6743 0.00031596 5.3093e-05 0.048055 1.6258 47462 0.58 0.020808 1.6738
10 10 4 0.045 2 0.055967 0.191 0.01214 0.44473 0.00031938 2.1449e-05 0.035553 0.4088 12631 0.204 0.016752 0.4413
10 10 4 0.045 3 0.055967 0.036 0.0031354 0.091752 0.00016877 2.1792e-05 0.023806 0.067718 2138.4 0.041 0.0046657 0.091608
10 10 4 0.045 4 0.055967 0.006 0.0005697 0.026832 0.00015922 2.0298e-05 0.01819 0.0084336 247.73 0.008 0.00094545 0.025832
10 10 4 0.045 5 0.055967 0 0 0.018299 0.00014197 1.8399e-05 0.017193 0.00090811 20.14 0 0 0.017895
10 10 4 0.045 6 0.055967 0 0 0.01729 0.00012463 2.3611e-05 0.016991 0.00011371 1.08 0 0 0.017237
10 10 4 0.045 7 0.055967 0 0 0.018233 0.0001886 2.5314e-05 0.017964 1.8019e-05 0.03 0 0 0.017235
10 10 4 0.045 8 0.055967 0 0 0.017196 0.00012314 2.443e-05 0.017009 7.7365e-06 0.01 0 0 0.017219
10 10 4 0.045 9 0.055967 0 0 0.017147 0.00012314 2.4082e-05 0.016962 4.8256e-06 0 0 0 0.017184
10 10 4 0.045 10 0.055967 0 0 0.017152 0.00012313 2.3988e-05 0.016962 4.8415e-06 0 0 0 0.017165
10 10 5 0.045 1 0.062619 0.375 0.021086 0.88826 0.00025282 5.57e-05 0.017903 0.87 27128 0.366 0.025095 0.88747
10 10 5 0.045 2 0.062619 0.071 0.0069283 0.12882 0.00019981 2.6766e-05 0.013743 0.11482 3773.3 0.069 0.0072111 0.12711
10 10 5 0.045 3 0.062619 0.009 0.00082727 0.020392 0.00018677 2.4658e-05 0.0096799 0.010475 328.65 0.007 0.00065758 0.018978
10 10 5 0.045 4 0.062619 0 0 0.0092745 0.00014772 2.0551e-05 0.0082312 0.0008439 19.01 0.001 0.0001 0.0087624
10 10 5 0.045 5 0.062619 0 0 0.0083106 0.00012477 2.7596e-05 0.0080303 8.0861e-05 0.75 0 0 0.0081725
10 10 5 0.045 6 0.062619 0 0 0.0080952 0.00012223 2.8288e-05 0.0079044 1.0645e-05 0.03 0 0 0.0080682
10 10 5 0.045 7 0.062619 0 0 0.0080779 0.00012154 2.843e-05 0.0078966 4.2184e-06 0 0 0 0.0080697
10 10 5 0.045 8 0.062619 0 0 0.0080981 0.00012179 2.8276e-05 0.0079161 4.2133e-06 0 0 0 0.0080715
10 10 5 0.045 9 0.062619 0 0 0.0080881 0.00012141 2.8655e-05 0.0079055 4.2184e-06 0 0 0 0.0080708
10 10 5 0.045 10 0.062619 0 0 0.008089 0.00012213 2.8261e-05 0.0079064 4.2361e-06 0 0 0 0.0080694
10 10 6 0.045 1 0.0656041 0.211 0.017757 0.46241 0.00021513 4.4203e-05 0.0083769 0.45374 14545 0.215 0.0225 0.46092
10 10 6 0.045 2 0.065604 0.026 0.0023475 0.038743 0.00017934 3.3839e-05 0.0071157 0.031384 1032.2 0.022 0.0021374 0.038706
10 10 6 0.045 3 0.065604 0.001 0.0001 0.0080017 0.00016866 3.1299e-05 0.005967 0.0018113 46.65 0.002 0.00019798 0.0069039
10 10 6 0.045 4 0.065604 0.001 0.0001 0.0051887 0.00013985 3.5369e-05 0.0048579 0.00012357 1.23 0 0 0.0050909
10 10 6 0.045 5 0.065604 0 0 0.0051139 0.00013988 3.7508e-05 0.0048966 1.1944e-05 0.04 0 0 0.0051145
10 10 6 0.045 6 0.065604 0 0 0.0050048 0.00014415 3.6986e-05 0.0047927 4.2156e-06 0 0 0 0.0049786
10 10 6 0.045 7 0.065604 0 0 0.0049985 0.00013696 3.6393e-05 0.0047938 4.2315e-06 0 0 0 0.0049788
10 10 6 0.045 8 0.065604 0 0 0.0050574 0.00014436 3.736e-05 0.0048439 4.2203e-06 0 0 0 0.0049773
10 10 6 0.045 9 0.065604 0 0 0.0050028 0.00013726 3.7321e-05 0.0047969 4.204e-06 0 0 0 0.0049824
10 10 6 0.045 10 0.065604 0 0 0.0049927 0.00013769 3.5782e-05 0.0047884 4.2184e-06 0 0 0 0.0049795
10 10 7 0.045 1 0.0712305 0.145 0.016035 0.23509 0.00020646 4.3112e-05 0.0048199 0.23 7533.6 0.119 0.0088273 0.23303
10 10 7 0.045 2 0.07123 0.005 0.0004798 0.015658 0.00020288 4.7916e-05 0.0065877 0.0087948 272.68 0.007 0.00065758 0.014553
10 10 7 0.045 3 0.07123 0 0 0.0051731 0.00018843 4.0879e-05 0.0045507 0.00035988 6.03 0 0 0.0040452
10 10 7 0.045 4 0.07123 0 0 0.0037034 0.00017355 4.8065e-05 0.0034339 1.6846e-05 0.08 0 0 0.0036611
10 10 7 0.045 5 0.07123 0 0 0.0036636 0.00017374 4.7832e-05 0.0034107 4.238e-06 0 0 0 0.00364
10 10 7 0.045 6 0.07123 0 0 0.0038368 0.00018225 4.8934e-05 0.0035731 4.4233e-06 0 0 0 0.0037897
10 10 7 0.045 7 0.07123 0 0 0.0038024 0.00018383 4.8822e-05 0.0035355 4.3856e-06 0 0 0 0.0037845
10 10 7 0.045 8 0.07123 0 0 0.0038062 0.00017981 4.8701e-05 0.0035468 4.3516e-06 0 0 0 0.0037926
10 10 7 0.045 9 0.07123 0 0 0.0038738 0.00018238 4.9427e-05 0.003609 4.4387e-06 0 0 0 0.0038604
10 10 7 0.045 10 0.07123 0 0 0.0038695 0.00018745 4.9473e-05 0.0036001 4.4904e-06 0 0 0 0.0038722
10 10 8 0.045 1 0.076226 0.076 0.0054788 0.12039 0.00023094 7.8421e-05 0.0033486 0.1167 3833.2 0.06 0.0056566 0.11885
10 10 8 0.045 2 0.076226 0.002 0.00019798 0.0071853 0.00022475 5.3111e-05 0.0042738 0.0026089 71.87 0.001 0.0001 0.0063967
10 10 8 0.045 3 0.076226 0 0 0.003189 0.00023698 5.925e-05 0.0027503 0.00010862 0.99 0 0 0.0031003
10 10 8 0.045 4 0.076226 0 0 0.0030487 0.00021218 6.0421e-05 0.0027399 7.1926e-06 0.01 0 0 0.0029073
10 10 8 0.045 5 0.076226 0 0 0.003026 0.0002192 5.9678e-05 0.0027145 4.4047e-06 0 0 0 0.0029807
10 10 8 0.045 6 0.076226 0 0 0.0029622 0.00021437 5.9946e-05 0.0026562 4.3074e-06 0 0 0 0.0028747
10 10 8 0.045 7 0.076226 0 0 0.0030322 0.00020509 6.0436e-05 0.0027346 4.3698e-06 0 0 0 0.0030346
10 10 8 0.045 8 0.076226 0 0 0.0029422 0.00020375 5.9411e-05 0.0026482 4.3348e-06 0 0 0 0.0028929
10 10 8 0.045 9 0.076226 0 0 0.0029075 0.00019642 5.9047e-05 0.002621 4.2678e-06 0 0 0 0.0028888
10 10 8 0.045 10 0.076226 0 0 0.0028803 0.0001956 5.8376e-05 0.0025945 4.2366e-06 0 0 0 0.0028539
10 25 3 0.045 1 0.0657753 0.987 0.0013444 3.478 0.00061254 0.00011661 0.16902 3.29 96288 0.985 0.0016919 3.4865
10 25 3 0.045 2 0.065775 0.932 0.0082586 2.9689 0.00063381 8.9533e-05 0.16038 2.8075 83391 0.919 0.010443 2.9651
10 25 3 0.045 3 0.065775 0.769 0.019534 2.1998 0.00060839 9.0818e-05 0.14219 2.0568 61737 0.788 0.016824 2.1968
10 25 3 0.045 4 0.065775 0.564 0.0296 1.374 0.00034363 5.0338e-05 0.12496 1.2486 38233 0.568 0.020784 1.3733
10 25 3 0.045 5 0.065775 0.347 0.020294 0.73368 0.00041605 3.8335e-05 0.10979 0.62341 19767 0.339 0.019575 0.73427
10 25 3 0.045 6 0.065775 0.169 0.015696 0.36637 0.00020998 2.122e-05 0.10105 0.26505 8588.7 0.174 0.011438 0.36198
10 25 3 0.045 7 0.065775 0.087 0.0082131 0.17838 0.00020532 2.7819e-05 0.081184 0.096934 3163.5 0.07 0.0057576 0.17738
10 25 3 0.045 8 0.065775 0.035 0.0039141 0.096805 0.00020068 2.6911e-05 0.065667 0.030881 986.82 0.025 0.0031061 0.095177
10 25 3 0.045 9 0.065775 0.013 0.0015465 0.071215 0.00019687 2.6281e-05 0.062163 0.0087999 266.45 0.01 0.0013131 0.071011
10 25 3 0.045 10 0.065775 0.007 0.0008596 0.065227 0.00018378 2.3651e-05 0.062683 0.0023118 62.23 0.005 0.0004798 0.064582
10 25 3 0.045 11 0.065775 0.001 0.0001 0.06326 0.00015965 2.2147e-05 0.062631 0.00041239 13.04 0.001 0.0001 0.062988
10 25 3 0.045 12 0.065775 0 0 0.063072 0.00016542 2.5597e-05 0.062685 0.0001633 2.2 0.001 0.0001 0.062819
10 25 3 0.045 13 0.065775 0 0 0.063153 0.00016853 2.6745e-05 0.062877 5.0898e-05 0.35 0 0 0.062642
10 25 3 0.045 14 0.065775 0 0 0.062893 0.00016758 2.6484e-05 0.062651 1.7909e-05 0.07 0 0 0.062521
10 25 3 0.045 15 0.065775 0 0 0.062695 0.00016682 2.6675e-05 0.062465 4.2617e-06 0 0 0 0.062491
10 25 3 0.045 17 0.065775 0 0 0.062444 0.00017245 2.6875e-05 0.062211 4.2575e-06 0 0 0 0.062494
10 25 3 0.045 20 0.065775 0 0 0.062637 0.00016746 2.7592e-05 0.062409 4.3055e-06 0 0 0 0.061933
10 25 3 0.045 25 0.065775 0 0 0.0619 0.00016519 2.7633e-05 0.061673 4.224e-06 0 0 0 0.061942
10 25 4 0.045 1 0.0728592 0.886 0.011115 2.7726 0.00055331 9.1853e-05 0.10275 2.6691 79714 0.869 0.01307 2.781
10 25 4 0.045 2 0.072859 0.642 0.024481 1.6245 0.00067079 9.9653e-05 0.089514 1.5341 46693 0.619 0.025797 1.6285
10 25 4 0.045 3 0.072859 0.356 0.027943 0.71176 0.00049147 5.006e-05 0.066427 0.64475 20464 0.334 0.019842 0.71264
10 25 4 0.045 4 0.072859 0.157 0.015001 0.26972 0.00026866 2.8071e-05 0.056765 0.21263 6961.1 0.159 0.014565 0.26992
10 25 4 0.045 5 0.072859 0.058 0.006703 0.10613 0.00025467 3.4742e-05 0.047318 0.058495 1899.9 0.06 0.0062626 0.10446
10 25 4 0.045 6 0.072859 0.011 0.0011909 0.050256 0.00024228 3.4282e-05 0.036295 0.013656 423.25 0.024 0.0030545 0.047965
10 25 4 0.045 7 0.072859 0.003 0.00029394 0.0368 0.00023817 3.2448e-05 0.033502 0.0030017 80.6 0.004 0.00038788 0.036042
10 25 4 0.045 8 0.072859 0 0 0.033941 0.00021048 3.076e-05 0.033215 0.00045129 13.06 0.002 0.00019798 0.033799
10 25 4 0.045 9 0.072859 0 0 0.033628 0.0002169 3.4228e-05 0.033202 0.00014126 1.59 0 0 0.033573
10 25 4 0.045 10 0.072859 0 0 0.033504 0.00021582 3.3365e-05 0.033196 2.9379e-05 0.14 0 0 0.033425
10 25 4 0.045 11 0.072859 0 0 0.033927 0.00022547 3.3239e-05 0.033635 4.2757e-06 0 0 0 0.033431
10 25 4 0.045 12 0.072859 0 0 0.033587 0.00021732 3.2914e-05 0.033305 4.2613e-06 0 0 0 0.033424
10 25 4 0.045 13 0.072859 0 0 0.033845 0.00022346 3.3127e-05 0.033556 4.2594e-06 0 0 0 0.033752
10 25 4 0.045 14 0.072859 0 0 0.034685 0.0002263 3.3575e-05 0.034387 5.2517e-06 0 0 0 0.033956
10 25 4 0.045 15 0.072859 0 0 0.03432 0.0002745 3.3525e-05 0.033979 4.3144e-06 0 0 0 0.033429
10 25 4 0.045 17 0.072859 0 0 0.03382 0.0002187 3.3157e-05 0.033536 4.2729e-06 0 0 0 0.033416
10 25 4 0.045 20 0.072859 0 0 0.033757 0.00022705 3.4192e-05 0.033463 4.244e-06 0 0 0 0.033434
10 25 4 0.045 25 0.072859 0 0 0.033581 0.00021603 3.2882e-05 0.0333 4.2487e-06 0 0 0 0.033429
10 25 5 0.045 1 0.07467 0.683 0.019001 1.8676 0.00052928 0.00014755 0.057146 1.8097 54495 0.691 0.021029 1.8664
10 25 5 0.045 2 0.07467 0.31 0.015455 0.61976 0.00053186 7.9228e-05 0.040712 0.57839 18389 0.312 0.022077 0.62054
10 25 5 0.045 3 0.07467 0.103 0.0081727 0.16242 0.00039629 4.7187e-05 0.030218 0.13173 4346.3 0.116 0.0094384 0.16186
10 25 5 0.045 4 0.07467 0.019 0.0017566 0.048591 0.00030069 5.0471e-05 0.024018 0.024193 773.07 0.031 0.0027667 0.047573
10 25 5 0.045 5 0.07467 0.003 0.00029394 0.023722 0.00028817 4.7107e-05 0.019484 0.0038755 107.79 0.005 0.0004798 0.021691
10 25 5 0.045 6 0.07467 0.001 0.0001 0.018262 0.0002619 4.5614e-05 0.017428 0.00049286 12.63 0.001 0.0001 0.018058
10 25 5 0.045 7 0.07467 0 0 0.017867 0.00026683 4.8694e-05 0.017406 0.00011419 1.13 0 0 0.017798
10 25 5 0.045 8 0.07467 0 0 0.017724 0.00026352 4.8411e-05 0.017361 2.1324e-05 0.1 0 0 0.01769
10 25 5 0.045 9 0.07467 0 0 0.017753 0.00029056 4.8783e-05 0.01737 9.0869e-06 0.02 0 0 0.017746
10 25 5 0.045 10 0.07467 0 0 0.01771 0.00026827 4.8474e-05 0.01736 4.1733e-06 0 0 0 0.017684
10 25 5 0.045 11 0.07467 0 0 0.017701 0.00026362 4.8622e-05 0.017356 4.2072e-06 0 0 0 0.01768
10 25 5 0.045 12 0.07467 0 0 0.017713 0.00026354 4.8408e-05 0.017369 4.231e-06 0 0 0 0.017676
10 25 5 0.045 13 0.07467 0 0 0.017696 0.00026371 4.9145e-05 0.017351 4.177e-06 0 0 0 0.017678
10 25 5 0.045 14 0.07467 0 0 0.018253 0.0002854 4.9517e-05 0.017886 4.3195e-06 0 0 0 0.017688
10 25 5 0.045 15 0.07467 0 0 0.017886 0.00028053 4.8725e-05 0.017524 4.2212e-06 0 0 0 0.017685
10 25 5 0.045 17 0.07467 0 0 0.017711 0.00026446 4.8623e-05 0.017365 4.231e-06 0 0 0 0.017671
10 25 5 0.045 20 0.07467 0 0 0.017718 0.00026281 4.8578e-05 0.017375 4.2254e-06 0 0 0 0.017677
10 25 5 0.045 25 0.07467 0 0 0.017709 0.0002669 5.1746e-05 0.017357 4.1886e-06 0 0 0 0.017673
10 25 6 0.045 1 0.0820007 0.458 0.021653 1.0759 0.00054133 0.00019395 0.023807 1.0513 32397 0.446 0.026347 1.0763
10 25 6 0.045 2 0.082001 0.132 0.0090667 0.21337 0.0005116 6.9303e-05 0.035067 0.17769 5870.7 0.117 0.012132 0.21261
10 25 6 0.045 3 0.082001 0.015 0.0016919 0.047275 0.0003972 6.7712e-05 0.024407 0.022375 723.14 0.026 0.0025495 0.04576
10 25 6 0.045 4 0.082001 0.002 0.00019798 0.021676 0.00043666 6.8661e-05 0.018389 0.0027521 66.66 0.006 0.0005697 0.015657
10 25 6 0.045 5 0.082001 0 0 0.010887 0.00032412 6.4678e-05 0.0102 0.00026219 4.55 0.001 0.0001 0.010339
10 25 6 0.045 6 0.082001 0 0 0.010964 0.00032838 6.7562e-05 0.010489 4.656e-05 0.28 0 0 0.01019
10 25 6 0.045 7 0.082001 0 0 0.010189 0.00031378 6.5535e-05 0.0097686 1.248e-05 0.04 0 0 0.010167
10 25 6 0.045 8 0.082001 0 0 0.010303 0.00031489 6.5865e-05 0.0098882 4.1807e-06 0 0 0 0.010177
10 25 6 0.045 9 0.082001 0 0 0.01018 0.00031395 6.5567e-05 0.0097675 4.1667e-06 0 0 0 0.010153
10 25 6 0.045 10 0.082001 0 0 0.010178 0.00031545 6.5497e-05 0.0097641 4.1756e-06 0 0 0 0.010154
10 25 6 0.045 11 0.082001 0 0 0.010184 0.00031286 6.5537e-05 0.0097733 4.1681e-06 0 0 0 0.010153
