k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 32 5 7.0778 0.001 0.0001 0.018673 0.002 0.00019798 0.01865
10 32 8 7.0778 0.002 0.00019798 0.019667 0.003 0.00029394 0.019708
10 32 10 7.0778 0.002 0.00019798 0.020261 0.003 0.00029394 0.020349
10 32 12 7.0778 0.002 0.00019798 0.021202 0.004 0.00038788 0.021078
10 32 20 7.0778 0.006 0.0005697 0.024192 0.008 0.00074343 0.024476
10 32 25 7.0778 0.007 0.00065758 0.02627 0.01 0.00090909 0.026377
10 32 50 7.0778 0.016 0.0017616 0.035807 0.019 0.0015545 0.035802
10 32 75 7.0778 0.022 0.0025414 0.045152 0.025 0.002298 0.045343
10 32 100 7.0778 0.033 0.0036475 0.054853 0.032 0.0030061 0.054789
10 32 250 7.0778 0.065 0.0063384 0.11448 0.064 0.0059636 0.11205
10 32 500 7.0778 0.114 0.012933 0.21303 0.111 0.01008 0.20998
10 64 1 7.0778 0.001 0.0001 0.021543 0 0 0.021215
10 64 2 7.0778 0.001 0.0001 0.021806 0 0 0.021398
10 64 3 7.0778 0.001 0.0001 0.021733 0.001 0.0001 0.02164
10 64 4 7.0778 0.001 0.0001 0.022198 0.002 0.00019798 0.021859
10 64 5 7.0778 0.001 0.0001 0.022144 0.002 0.00019798 0.022075
10 64 8 7.0778 0.002 0.00019798 0.023978 0.003 0.00029394 0.023229
10 64 10 7.0778 0.002 0.00019798 0.023535 0.003 0.00029394 0.023696
10 64 12 7.0778 0.002 0.00019798 0.024407 0.004 0.00038788 0.024539
10 64 20 7.0778 0.006 0.0005697 0.027573 0.008 0.00074343 0.027929
10 64 25 7.0778 0.007 0.00065758 0.029811 0.01 0.00090909 0.029844
10 64 50 7.0778 0.016 0.0017616 0.039369 0.019 0.0015545 0.039276
10 64 75 7.0778 0.022 0.0025414 0.048593 0.025 0.002298 0.048829
10 64 100 7.0778 0.033 0.0036475 0.058321 0.032 0.0030061 0.058278
