k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 13 0.088 25 1 1.375e-07 5.619 0.1404 0.060328 0.04161 0 0.0008054 0.020011 0.020514 316.95 100000 100 100 0.1352 0.060101 0.039978
10 1 13 0.088 25 1 1.75e-07 5.619 0.1404 0.060328 0.041315 0 0.0008176 0.020286 0.019943 316.95 100000 100 100 0.1352 0.060101 0.040507
10 1 13 0.088 25 1 2.5e-07 5.619 0.1404 0.060328 0.04111 0 0.000797 0.020273 0.019754 316.95 100000 100 100 0.1352 0.060101 0.04008
10 1 13 0.088 25 1 3.75e-07 5.619 0.1404 0.060328 0.041108 0 0.00082121 0.020353 0.019662 316.95 100000 100 100 0.1352 0.060101 0.040074
10 1 13 0.088 25 1 5e-07 5.619 0.1404 0.060328 0.041994 0 0.00081255 0.021168 0.019738 316.95 100000 100 100 0.1352 0.060101 0.041144
10 1 13 0.088 25 1 7.5e-07 5.619 0.1404 0.060328 0.040859 0 0.00079876 0.020223 0.019561 316.95 100000 100 100 0.1352 0.060101 0.040002
10 1 13 0.088 25 1 1e-06 5.619 0.1404 0.060328 0.042286 0 0.00083079 0.021262 0.019914 316.95 100000 100 100 0.1352 0.060101 0.040997
10 1 13 0.088 25 1 1.375e-06 5.619 0.1404 0.060328 0.042116 0 0.00082614 0.021195 0.019819 316.95 100000 100 100 0.1352 0.060101 0.04022
10 1 13 0.088 25 1 1.75e-06 5.619 0.1404 0.060328 0.041053 0 0.00079682 0.020394 0.019592 316.95 100000 100 100 0.1352 0.060101 0.040151
10 1 13 0.088 25 1 2.5e-06 5.619 0.1404 0.060328 0.041972 0 0.00081621 0.021213 0.019673 316.95 100000 100 100 0.1352 0.060101 0.041099
10 1 13 0.088 25 1 3.75e-06 5.619 0.1404 0.060328 0.040801 0 0.0007976 0.020216 0.019516 316.95 100000 100 100 0.1352 0.060101 0.040198
10 1 13 0.088 25 1 5e-06 5.619 0.1404 0.060328 0.042004 0 0.00080289 0.021207 0.019717 316.95 100000 100 100 0.1352 0.060101 0.041138
