k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 13 0.088 25 1 1.375e-07 5.6771 0.1472 0.063376 0.042293 0 0.00084398 0.021269 0.019903 314.58 100000 100 100 0.1383 0.058422 0.041433
10 1 13 0.088 25 1 1.75e-07 5.6771 0.1472 0.063376 0.040464 0 0.00083816 0.019848 0.01958 314.58 100000 100 100 0.1383 0.058422 0.040188
10 1 13 0.088 25 1 2.5e-07 5.6771 0.1472 0.063376 0.040702 0 0.00082846 0.019885 0.019792 314.58 100000 100 100 0.1383 0.058422 0.040097
10 1 13 0.088 25 1 3.75e-07 5.6771 0.1472 0.063376 0.040583 0 0.00083124 0.01987 0.019684 314.58 100000 100 100 0.1383 0.058422 0.040048
10 1 13 0.088 25 1 5e-07 5.6771 0.1472 0.063376 0.040641 0 0.00082672 0.019946 0.019669 314.58 100000 100 100 0.1383 0.058422 0.040028
10 1 13 0.088 25 1 7.5e-07 5.6771 0.1472 0.063376 0.040425 0 0.00083031 0.019862 0.019536 314.58 100000 100 100 0.1383 0.058422 0.039818
10 1 13 0.088 25 1 1e-06 5.6771 0.1472 0.063376 0.040666 0 0.00084024 0.019951 0.019682 314.58 100000 100 100 0.1383 0.058422 0.040078
10 1 13 0.088 25 1 1.375e-06 5.6771 0.1472 0.063376 0.040452 0 0.00082938 0.019856 0.019572 314.58 100000 100 100 0.1383 0.058422 0.039957
10 1 13 0.088 25 1 1.75e-06 5.6771 0.1472 0.063376 0.040414 0 0.0008261 0.019875 0.019522 314.58 100000 100 100 0.1383 0.058422 0.039924
10 1 13 0.088 25 1 2.5e-06 5.6771 0.1472 0.063376 0.04066 0 0.0008415 0.019962 0.01966 314.58 100000 100 100 0.1383 0.058422 0.040124
10 1 13 0.088 25 1 3.75e-06 5.6771 0.1472 0.063376 0.040439 0 0.00082989 0.019869 0.019541 314.58 100000 100 100 0.1383 0.058422 0.039837
10 1 13 0.088 25 1 5e-06 5.6771 0.1472 0.063376 0.040434 0 0.00083078 0.019845 0.019565 314.58 100000 100 100 0.1383 0.058422 0.03994
10 1 13 0.088 25 1 7.5e-06 5.6771 0.1472 0.063376 0.040387 0 0.00082441 0.019833 0.019537 314.58 100000 100 100 0.1383 0.058422 0.040054
10 1 13 0.088 25 1 1e-05 5.6771 0.1472 0.063376 0.040376 0 0.00083551 0.019847 0.019503 314.58 100000 100 100 0.1383 0.058422 0.040071
10 1 13 0.088 25 1 1.375e-05 5.6771 0.1472 0.063376 0.040555 0 0.00082302 0.019841 0.019692 314.58 100000 100 100 0.1383 0.058422 0.04054
10 1 13 0.088 25 1 1.75e-05 5.6771 0.1472 0.063376 0.040576 0 0.00084861 0.019857 0.019681 314.58 100000 100 100 0.1383 0.058422 0.040002
10 1 13 0.088 25 1 2.5e-05 5.6771 0.1472 0.063376 0.040644 0 0.00083231 0.01992 0.019695 314.58 100000 100 100 0.1383 0.058422 0.040413
10 1 13 0.088 25 1 3.75e-05 5.6771 0.1472 0.063376 0.040581 0 0.00083991 0.019863 0.019686 314.58 100000 100 100 0.1383 0.058422 0.040082
10 1 13 0.088 25 1 5e-05 5.6771 0.1472 0.063376 0.040407 0 0.00082778 0.019837 0.019551 314.58 100000 100 100 0.1383 0.058422 0.039946
10 1 13 0.088 25 1 7.5e-05 5.6771 0.1472 0.063376 0.040462 0 0.0008361 0.019818 0.019612 314.58 100000 100 100 0.1383 0.058422 0.039904
10 1 13 0.088 25 1 0.0001 5.6771 0.1472 0.063376 0.040593 0 0.00083215 0.019897 0.01965 314.58 100000 100 100 0.1383 0.058422 0.040147
10 1 13 0.088 25 1 0.0001375 5.6771 0.1472 0.063376 0.04048 0 0.00083343 0.019889 0.01956 314.58 100000 100 100 0.1383 0.058422 0.040578
10 1 13 0.088 25 1 0.000175 5.6771 0.1472 0.063376 0.040545 0 0.00082971 0.019885 0.019633 314.58 100000 100 100 0.1383 0.058422 0.039893
10 1 13 0.088 25 1 0.00025 5.6771 0.1472 0.063376 0.040378 0 0.00082488 0.019829 0.019534 314.58 100000 100 100 0.1383 0.058422 0.039971
10 1 13 0.088 25 1 0.000375 5.6771 0.1472 0.063376 0.040651 0 0.0008325 0.019922 0.019698 314.58 100000 100 100 0.1383 0.058422 0.03992
10 1 13 0.088 25 1 0.0005 5.6771 0.1472 0.063376 0.04061 0 0.00083567 0.019883 0.019696 314.58 100000 100 100 0.1383 0.058422 0.03984
10 1 13 0.088 25 1 0.00075 5.6771 0.1469 0.062993 0.040654 0 0.00083087 0.019958 0.019668 313.51 100000 100 100 0.1377 0.057907 0.039845
10 1 13 0.088 25 1 0.001 5.6771 0.145 0.062337 0.040327 0 0.00084038 0.01991 0.019383 308.51 100000 100 100 0.1367 0.05736 0.039564
10 1 13 0.088 25 1 0.001375 5.6771 0.1414 0.060587 0.039485 0 0.00083075 0.019863 0.018602 296.45 100000 100 100 0.1329 0.055683 0.039017
10 1 13 0.088 25 1 0.00175 5.6771 0.1338 0.057215 0.03766 0 0.00081988 0.019934 0.016716 259.88 100000 100 100 0.125 0.051386 0.037057
