k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 14 0.0104 50 1 0.001375 188.15 0.7144 0.082615 0.47189 0 0.024261 0.06574 0.38155 126.78 98000 100 0.7332 0.073591 0.46216 16 35 38 49 81 67 79 81 102 150 302 
10 30 14 0.0104 50 1 0.00175 188.15 0.6518 0.095052 0.34239 0 0.023938 0.05404 0.26406 89.653 98000 100 0.6692 0.087399 0.34392 33 46 62 62 75 89 90 79 98 120 246 
10 30 14 0.0104 50 1 0.0025 188.15 0.5475 0.10944 0.22308 0 0.022648 0.053388 0.14665 50.353 98000 100 0.5601 0.10466 0.22373 67 90 81 91 93 82 83 73 76 89 175 
10 30 14 0.0104 50 1 0.00375 188.15 0.407 0.11394 0.14386 0 0.022067 0.051871 0.069495 23.205 98000 100 0.4172 0.10867 0.1436 181 129 92 119 86 59 56 55 64 62 97 
10 30 14 0.0104 50 1 0.005 188.15 0.2983 0.10059 0.11159 0 0.02114 0.052021 0.038022 11.914 98000 100 0.3038 0.096882 0.11091 306 154 114 84 54 55 59 38 37 48 51 
10 30 14 0.0104 50 1 0.0075 188.15 0.1468 0.057447 0.084802 0 0.020847 0.050466 0.013124 3.64 98000 100 0.1523 0.05561 0.084921 587 107 80 60 48 28 28 16 18 15 13 
10 30 14 0.0104 50 1 0.01 188.15 0.0608 0.024668 0.08395 0 0.020534 0.058094 0.0050977 1.238 98000 100 0.0611 0.021418 0.086325 786 83 37 42 10 14 9 6 3 5 5 
10 30 15 0.0104 50 1 1e-07 230.621 0.96 0.0093293 10.274 0 0.058698 0.23477 9.9791 2196.2 98000 100 0.9695 0.0065263 9.2421 0 0 0 2 5 6 10 24 37 140 776 
10 30 15 0.0104 50 1 1.375e-07 230.62 0.96 0.0093293 7.9214 0 0.041015 0.20427 7.6751 2196.2 98000 100 0.9695 0.0065263 7.9451 0 0 0 2 5 6 10 24 37 140 776 
10 30 15 0.0104 50 1 1.75e-07 230.62 0.96 0.0093293 7.8873 0 0.041345 0.14141 7.7035 2196.2 98000 100 0.9695 0.0065263 7.8871 0 0 0 2 5 6 10 24 37 140 776 
10 30 15 0.0104 50 1 2.5e-07 230.62 0.96 0.0093293 7.8337 0 0.041692 0.13256 7.6583 2196.2 98000 100 0.9695 0.0065263 7.9012 0 0 0 2 5 6 10 24 37 140 776 
10 30 15 0.0104 50 1 3.75e-07 230.62 0.96 0.0093293 7.8607 0 0.041259 0.13723 7.6812 2196.2 98000 100 0.9695 0.0065263 7.8534 0 0 0 2 5 6 10 24 37 140 776 
