	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
1426	10	400	9	0.0104	1	17.6508	0.9942	0.00080717	165.49	0.32279	0.098876	0.82263	164.25	40247.0	0.9924	0.0010233	156.91	0	0	0	0	0	0	0	2	7	38	953
1444	10	400	10	0.0104	1	13.3348	0.9706	0.0047604	102.29	0.35867	0.14517	0.56216	101.22	25039.0	0.9667	0.005907	98.068	0	0	0	0	0	0	6	18	44	128	804
1462	10	400	11	0.0104	1	5.7822	0.9156	0.016593	57.132	0.38206	0.15823	0.51156	56.079	14463.0	0.9097	0.018394	55.839	0	0	0	0	6	13	40	65	108	172	596
1480	10	400	12	0.0104	1	18.7963	0.8183	0.039935	33.626	0.47399	0.22251	0.29788	32.63	7969.0	0.8144	0.040753	33.875	0	2	6	15	40	60	85	118	118	176	380
1498	10	500	6	0.0104	1	19.0994	1.0	0.0	376.53	0.28701	0.034618	3.6641	372.54	92582.0	1.0	0.0	361.24	0	0	0	0	0	0	0	0	0	0	1000
1516	10	500	7	0.0104	1	5.44614	1.0	0.0	329.05	0.3161	0.054841	2.4908	326.18	82246.0	1.0	0.0	329.89	0	0	0	0	0	0	0	0	0	0	1000
1534	10	500	8	0.0104	1	6.31734	0.9998	1.998e-05	263.01	0.3556	0.088695	1.5433	261.02	64545.0	0.9999	1e-05	261.61	0	0	0	0	0	0	0	0	0	2	998
1552	10	500	9	0.0104	1	26.4807	0.9979	0.0002058	189.16	0.41525	0.11153	1.0215	187.61	45680.0	0.9969	0.00038077	179.97	0	0	0	0	0	0	0	0	0	21	979
1570	10	500	10	0.0104	1	21.4345	0.9843	0.0020656	119.42	0.4621	0.17797	0.69246	118.09	28978.0	0.9836	0.0028739	118.11	0	0	0	0	0	0	0	6	19	101	874
1588	10	500	11	0.0104	1	27.298	0.9415	0.011279	72.41	0.52853	0.22079	0.52969	71.129	17155.0	0.9385	0.01234	73.101	0	0	1	0	3	5	22	34	85	174	676
1606	10	500	12	0.0104	1	10.1226	0.8606	0.030338	41.209	0.50967	0.25889	0.51499	39.924	9641.5	0.8613	0.028721	38.651	0	0	6	7	20	44	52	96	135	191	449
