k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 25 10000 32.036 0.9221 0.015657 35.588 0.9202 0.01795 35.658 0 0 0 5 2 14 22 63 100 185 609 
10 25 20000 32.036 0.9523 0.0088836 46.369 0.9514 0.010489 46.482 0 0 0 1 0 8 11 29 65 169 717 
10 25 40000 32.036 0.9773 0.0035583 63.118 0.9733 0.0051222 62.713 0 0 0 0 0 2 0 12 34 113 839 
10 25 100000 32.036 0.991 0.0013003 95.584 0.9926 0.0010663 95.546 0 0 0 0 0 0 0 4 12 54 930 
10 25 200000 32.036 0.9974 0.00037361 137.86 0.9983 0.00020732 137.9 0 0 0 0 0 0 0 1 3 17 979 
10 25 400000 32.036 0.9997 2.994e-05 206.67 0.9997 2.994e-05 206.54 0 0 0 0 0 0 0 0 0 3 997 
10 50 25 68.4295 0.8776 0.026685 22.493 0.8765 0.029687 22.49 0 2 5 9 12 25 43 84 129 224 467 
10 50 50 68.43 0.8776 0.026685 22.395 0.8765 0.029687 22.761 0 2 5 9 12 25 43 84 129 224 467 
10 50 100 68.43 0.8776 0.026685 32.965 0.8765 0.029687 29.968 0 2 5 9 12 25 43 84 129 224 467 
10 50 200 68.43 0.8776 0.026685 30.047 0.8765 0.029687 25.218 0 2 5 9 12 25 43 84 129 224 467 
10 50 400 68.43 0.8776 0.026685 31.661 0.8765 0.029687 25.325 0 2 5 9 12 25 43 84 129 224 467 
10 50 1000 68.43 0.8776 0.026685 24.341 0.8765 0.029687 24.157 0 2 5 9 12 25 43 84 129 224 467 
10 50 2000 68.43 0.8776 0.026685 32.894 0.8765 0.029687 26.205 0 2 5 9 12 25 43 84 129 224 467 
10 50 4000 68.43 0.8776 0.026685 27.908 0.8765 0.029687 26.137 0 2 5 9 12 25 43 84 129 224 467 
10 50 10000 68.43 0.9343 0.013567 35.556 0.9336 0.014706 35.042 0 0 3 0 3 12 14 46 94 173 655 
10 50 20000 68.43 0.9591 0.0083055 48.4 0.9592 0.0088442 44.68 0 0 1 1 1 6 10 17 59 149 756 
10 50 40000 68.43 0.9788 0.0037543 77.309 0.9781 0.0047151 56.688 0 0 0 1 0 1 4 9 22 113 850 
10 50 100000 68.43 0.9925 0.0010948 90.723 0.9918 0.0016744 83.268 0 0 0 0 0 0 0 4 8 47 941 
10 50 200000 68.43 0.9959 0.00055374 121.44 0.997 0.00035135 114.87 0 0 0 0 0 0 0 2 2 31 965 
10 50 400000 68.43 0.9988 0.0001387 162.49 0.9994 5.97e-05 162.49 0 0 0 0 0 0 0 0 1 10 989 
10 100 25 124.142 0.8963 0.023099 22.313 0.8937 0.023294 22.319 0 1 5 9 6 19 34 69 117 217 523 
10 100 50 124.14 0.8963 0.023099 22.41 0.8937 0.023294 22.282 0 1 5 9 6 19 34 69 117 217 523 
10 100 100 124.14 0.8963 0.023099 22.297 0.8937 0.023294 22.383 0 1 5 9 6 19 34 69 117 217 523 
10 100 200 124.14 0.8963 0.023099 27.821 0.8937 0.023294 22.931 0 1 5 9 6 19 34 69 117 217 523 
10 100 400 124.14 0.8963 0.023099 32.843 0.8937 0.023294 27.085 0 1 5 9 6 19 34 69 117 217 523 
10 100 1000 124.14 0.8963 0.023099 22.938 0.8937 0.023294 22.869 0 1 5 9 6 19 34 69 117 217 523 
10 100 2000 124.14 0.8963 0.023099 24.228 0.8937 0.023294 32.611 0 1 5 9 6 19 34 69 117 217 523 
10 100 4000 124.14 0.8963 0.023099 26.397 0.8937 0.023294 27.374 0 1 5 9 6 19 34 69 117 217 523 
10 100 10000 124.14 0.9439 0.012015 37.644 0.945 0.011547 33.463 0 0 2 5 2 4 13 33 69 189 683 
10 100 20000 124.14 0.9638 0.007417 42.242 0.9645 0.007217 41.95 0 0 1 2 0 5 6 18 45 147 776 
10 100 40000 124.14 0.9809 0.0035888 69.206 0.9802 0.004052 54.229 0 0 0 2 0 0 1 10 24 95 868 
10 100 100000 124.14 0.9926 0.0014267 76.485 0.9915 0.0017595 76.134 0 0 0 0 1 0 0 5 7 39 948 
10 100 200000 124.14 0.996 0.00054454 100.36 0.9959 0.00085404 99.826 0 0 0 0 0 0 0 0 8 24 968 
10 100 400000 124.14 0.9987 0.00014846 134.86 0.9989 0.0001089 134.45 0 0 0 0 0 0 0 0 1 11 988 
10 200 25 271.357 0.9063 0.020271 25.622 0.9068 0.021796 24.223 0 1 4 4 4 19 29 75 102 204 558 
10 200 50 271.36 0.9063 0.020271 34.306 0.9068 0.021796 29.42 0 1 4 4 4 19 29 75 102 204 558 
10 200 100 271.36 0.9063 0.020271 27.587 0.9068 0.021796 27.519 0 1 4 4 4 19 29 75 102 204 558 
10 200 200 271.36 0.9063 0.020271 27.505 0.9068 0.021796 27.472 0 1 4 4 4 19 29 75 102 204 558 
10 200 400 271.36 0.9063 0.020271 27.398 0.9068 0.021796 27.602 0 1 4 4 4 19 29 75 102 204 558 
10 200 1000 271.36 0.9063 0.020271 27.397 0.9068 0.021796 27.583 0 1 4 4 4 19 29 75 102 204 558 
10 200 2000 271.36 0.9063 0.020271 27.405 0.9068 0.021796 27.581 0 1 4 4 4 19 29 75 102 204 558 
10 200 4000 271.36 0.9063 0.020271 27.421 0.9068 0.021796 27.629 0 1 4 4 4 19 29 75 102 204 558 
10 200 10000 271.36 0.9531 0.008619 37.688 0.9514 0.010248 37.804 0 0 0 2 1 3 13 28 57 184 712 
10 200 20000 271.36 0.9687 0.005676 46.488 0.9706 0.0055212 46.356 0 0 0 1 1 1 5 19 43 132 798 
10 200 40000 271.36 0.9836 0.002994 58.944 0.9834 0.0034279 58.762 0 0 0 1 0 1 2 4 26 80 886 
10 200 100000 271.36 0.993 0.0011922 80.393 0.9912 0.0021847 79.955 0 0 0 0 0 0 1 3 12 33 951 
10 200 200000 271.36 0.9969 0.00046085 102.58 0.996 0.00066466 101.82 0 0 0 0 0 0 0 1 5 18 976 
10 200 400000 271.36 0.9981 0.00026666 132.85 0.9986 0.0001582 132.04 0 0 0 0 0 0 0 0 4 11 985 
