k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 14 0.015625 10 1 0.001375 43.604 0.4693 0.0925 0.43008 0 0.0050958 0.021282 0.40337 254.97 99120 100 0.4658 0.091542 0.42751 92 106 98 90 104 95 95 96 91 70 63 
10 5 14 0.015625 10 1 0.00175 43.604 0.4539 0.089775 0.39625 0 0.0050699 0.021149 0.36971 233.51 99120 100 0.4524 0.090665 0.40444 95 111 104 92 105 103 99 90 81 63 57 
10 5 14 0.015625 10 1 0.0025 43.604 0.4168 0.087605 0.32515 0 0.0050349 0.021936 0.29785 185.12 99120 100 0.4181 0.090092 0.3351 107 140 112 96 106 102 94 71 72 55 45 
10 5 14 0.015625 10 1 0.00375 43.604 0.3299 0.082719 0.17888 0 0.0048458 0.021351 0.15238 94.03 99120 100 0.3345 0.085745 0.17861 192 173 113 113 93 85 66 44 55 40 26 
10 5 14 0.015625 10 1 0.005 43.604 0.2865 0.079027 0.12218 0 0.0046864 0.020471 0.096717 59.518 99120 100 0.288 0.081758 0.12063 251 187 108 107 94 69 49 32 46 36 21 
10 5 14 0.015625 10 1 0.0075 43.604 0.1927 0.059977 0.05662 0 0.0044901 0.019972 0.031802 18.14 99120 100 0.1927 0.065943 0.055601 394 202 119 78 61 38 28 29 24 14 13 
10 5 14 0.015625 10 1 0.01 43.604 0.1454 0.049388 0.044985 0 0.0043642 0.020298 0.019917 10.495 99120 100 0.1464 0.054602 0.045043 499 189 113 64 35 25 18 13 22 13 9 
10 5 15 0.015625 10 1 1e-07 65.9204 0.3884 0.092938 0.28755 0 0.0071256 0.024236 0.25597 146.37 99120 100 0.3799 0.091497 0.27883 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1.375e-07 65.92 0.3884 0.092938 0.28088 0 0.0061542 0.02052 0.25389 146.37 99120 100 0.3799 0.091497 0.28175 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1.75e-07 65.92 0.3884 0.092938 0.27753 0 0.0061358 0.020192 0.25091 146.37 99120 100 0.3799 0.091497 0.27693 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 2.5e-07 65.92 0.3884 0.092938 0.2761 0 0.0060976 0.020069 0.24964 146.37 99120 100 0.3799 0.091497 0.2767 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 3.75e-07 65.92 0.3884 0.092938 0.27614 0 0.0061211 0.020025 0.24969 146.37 99120 100 0.3799 0.091497 0.27826 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 5e-07 65.92 0.3884 0.092938 0.27582 0 0.0060662 0.020053 0.2494 146.37 99120 100 0.3799 0.091497 0.27623 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 7.5e-07 65.92 0.3884 0.092938 0.29245 0 0.0061163 0.020511 0.26551 146.37 99120 100 0.3799 0.091497 0.2799 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1e-06 65.92 0.3884 0.092938 0.2742 0 0.0061336 0.02007 0.2477 146.37 99120 100 0.3799 0.091497 0.28422 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1.375e-06 65.92 0.3884 0.092938 0.27371 0 0.0060577 0.020085 0.24725 146.37 99120 100 0.3799 0.091497 0.27418 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1.75e-06 65.92 0.3884 0.092938 0.28827 0 0.006059 0.020147 0.26176 146.37 99120 100 0.3799 0.091497 0.27183 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 2.5e-06 65.92 0.3884 0.092938 0.27132 0 0.0061017 0.020042 0.24487 146.37 99120 100 0.3799 0.091497 0.28462 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 3.75e-06 65.92 0.3884 0.092938 0.28426 0 0.0059782 0.029553 0.24841 146.37 99120 100 0.3799 0.091497 0.27318 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 5e-06 65.92 0.3884 0.092938 0.27018 0 0.0056473 0.019753 0.24448 146.37 99120 100 0.3799 0.091497 0.29949 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 7.5e-06 65.92 0.3884 0.092938 0.26636 0 0.0057198 0.020152 0.24018 146.37 99120 100 0.3799 0.091497 0.26856 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1e-05 65.92 0.3884 0.092938 0.28284 0 0.0056229 0.019818 0.2571 146.37 99120 100 0.3799 0.091497 0.2652 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1.375e-05 65.92 0.3884 0.092938 0.26466 0 0.005657 0.019828 0.23889 146.37 99120 100 0.3799 0.091497 0.26588 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 1.75e-05 65.92 0.3884 0.092938 0.30137 0 0.0057055 0.020313 0.27504 146.37 99120 100 0.3799 0.091497 0.26796 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 2.5e-05 65.92 0.3884 0.092938 0.26638 0 0.0056461 0.020265 0.24017 146.37 99120 100 0.3799 0.091497 0.26688 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 3.75e-05 65.92 0.3884 0.092938 0.28064 0 0.0059523 0.020447 0.25394 146.37 99120 100 0.3799 0.091497 0.25946 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 5e-05 65.92 0.3884 0.092938 0.25972 0 0.0057188 0.019889 0.2338 146.37 99120 100 0.3799 0.091497 0.27743 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 7.5e-05 65.92 0.3884 0.092938 0.25749 0 0.0057072 0.01989 0.23157 146.37 99120 100 0.3799 0.091497 0.25932 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.0001 65.92 0.3884 0.092938 0.25771 0 0.0057013 0.0199 0.23179 146.37 99120 100 0.3799 0.091497 0.2831 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.0001375 65.92 0.3884 0.092938 0.25594 0 0.0056542 0.020022 0.22994 146.37 99120 100 0.3799 0.091497 0.25523 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.000175 65.92 0.3884 0.092938 0.25522 0 0.0057313 0.01992 0.22926 146.37 99120 100 0.3799 0.091497 0.26126 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.00025 65.92 0.3884 0.092938 0.25906 0 0.0058149 0.024096 0.22884 146.37 99120 100 0.3799 0.091497 0.25655 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.000375 65.92 0.3884 0.092938 0.25414 0 0.0055148 0.019802 0.22851 146.37 99120 100 0.3797 0.091529 0.2557 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.0005 65.92 0.3884 0.092938 0.25499 0 0.005694 0.020744 0.22826 146.37 99120 100 0.3797 0.091529 0.25513 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.00075 65.92 0.3884 0.092938 0.25413 0 0.005515 0.019945 0.22837 146.3 99120 100 0.3797 0.091529 0.25484 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.001 65.92 0.3884 0.092938 0.25458 0 0.0055166 0.01983 0.22892 146.14 99120 100 0.3797 0.091529 0.25564 146 150 115 110 82 77 85 71 64 58 42 
10 5 15 0.015625 10 1 0.001375 65.92 0.3876 0.092359 0.25226 0 0.0055195 0.019804 0.22663 145.43 99120 100 0.3794 0.091507 0.25296 146 150 115 110 82 78 85 74 61 58 41 
10 5 15 0.015625 10 1 0.00175 65.92 0.386 0.092196 0.25033 0 0.0055422 0.019784 0.22469 144.17 99120 100 0.3779 0.090933 0.25061 147 152 114 110 82 77 86 73 61 58 40 
10 5 15 0.015625 10 1 0.0025 65.92 0.38 0.090771 0.24423 0 0.0055907 0.019736 0.21859 139.18 99120 100 0.3703 0.089017 0.24145 149 154 116 113 81 78 88 66 63 53 39 
10 5 15 0.015625 10 1 0.00375 65.92 0.3551 0.087702 0.2132 0 0.0054413 0.019649 0.18781 119.51 99120 100 0.3482 0.085342 0.21359 170 161 121 113 86 77 77 53 63 47 32 
