k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 100 40000 1.1057 0.9925 0.0015153 1.762 0.994 0.0015656 1.7437
10 100 100000 1.1057 0.9989 0.00018898 4.2086 0.9988 0.0002388 4.1794
10 100 200000 1.1057 0.9996 3.988e-05 8.8353 0.9995 6.982e-05 8.8086
10 100 400000 1.1057 1 0 18.005 0.9997 4.996e-05 17.898
10 200 25 2.18948 0.8954 0.0414 0.24805 0.9123 0.035074 0.25046
10 200 50 2.1895 0.8954 0.0414 0.24738 0.9123 0.035074 0.24937
10 200 100 2.1895 0.8954 0.0414 0.24737 0.9123 0.035074 0.24951
10 200 200 2.1895 0.8954 0.0414 0.24736 0.9123 0.035074 0.25397
10 200 400 2.1895 0.8955 0.041271 0.24786 0.9126 0.034816 0.24968
10 200 1000 2.1895 0.9249 0.028719 0.30761 0.9391 0.022484 0.30973
10 200 2000 2.1895 0.9434 0.021638 0.35945 0.9581 0.014669 0.35828
10 200 4000 2.1895 0.9576 0.016038 0.45285 0.9711 0.0097445 0.45299
10 200 10000 2.1895 0.9722 0.010017 0.69922 0.9812 0.0066732 0.69456
10 200 20000 2.1895 0.9791 0.0071003 1.069 0.9861 0.0048416 1.0624
10 200 40000 2.1895 0.9864 0.003939 1.7647 0.9906 0.0028145 1.7603
10 200 100000 2.1895 0.9957 0.00081232 3.8674 0.9964 0.00092797 3.9909
10 200 200000 2.1895 0.9989 0.00018898 7.8775 0.999 0.00021922 7.8266
10 200 400000 2.1895 0.9998 1.998e-05 16.949 0.9996 5.99e-05 16.689
10 400 25 4.27126 0.9086 0.036923 0.3845 0.9198 0.030659 0.39131
10 400 50 4.2713 0.9086 0.036923 0.36869 0.9198 0.030659 0.37061
10 400 100 4.2713 0.9086 0.036923 0.3678 0.9198 0.030659 0.36928
10 400 200 4.2713 0.9086 0.036923 0.36832 0.9198 0.030659 0.37108
10 400 400 4.2713 0.909 0.036536 0.37122 0.9202 0.030282 0.37146
10 400 1000 4.2713 0.9361 0.02361 0.43256 0.9451 0.019576 0.43344
10 400 2000 4.2713 0.9495 0.018438 0.48152 0.9597 0.01418 0.48098
10 400 4000 4.2713 0.9601 0.014613 0.58213 0.9717 0.0092383 0.58081
10 400 10000 4.2713 0.9715 0.0095873 0.82332 0.9815 0.006294 0.82399
10 400 20000 4.2713 0.981 0.0056847 1.2033 0.9861 0.0047816 1.1936
10 400 40000 4.2713 0.9868 0.0035493 1.8906 0.9896 0.0033752 1.8787
10 400 100000 4.2713 0.9918 0.0017745 3.9026 0.9943 0.0013789 3.8494
10 400 200000 4.2713 0.9979 0.0003059 7.3957 0.9981 0.0003067 7.3759
10 400 400000 4.2713 0.9993 8.96e-05 15.365 0.9993 0.00012964 15.276
