k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 3.46699 0.3678 0.036259 0.10591 0.3572 0.035884 0.10353
10 1 2 3.467 0.4446 0.04884 0.1057 0.4267 0.047164 0.10399
10 1 3 3.467 0.4608 0.051915 0.10051 0.4444 0.050159 0.09655
10 1 4 3.467 0.467 0.053464 0.096738 0.4502 0.051431 0.09652
10 1 5 3.467 0.4691 0.05457 0.097118 0.4512 0.05189 0.096461
10 1 8 3.467 0.4693 0.054682 0.097782 0.4513 0.05191 0.097017
10 1 10 3.467 0.4693 0.054682 0.098135 0.4513 0.05191 0.097573
10 1 12 3.467 0.4693 0.054682 0.09901 0.4513 0.05191 0.098209
10 1 20 3.467 0.4693 0.054682 0.10027 0.4513 0.05191 0.10412
10 1 25 3.467 0.4693 0.054682 0.10221 0.4513 0.05191 0.10103
10 1 50 3.467 0.4693 0.054682 0.10661 0.4513 0.05191 0.10585
10 1 75 3.467 0.4693 0.054682 0.11158 0.4513 0.05191 0.11292
10 1 100 3.467 0.4693 0.054682 0.11564 0.4513 0.05191 0.11493
10 1 250 3.467 0.4693 0.054682 0.14802 0.4513 0.05191 0.14733
10 1 500 3.467 0.4693 0.054682 0.20047 0.4513 0.05191 0.19865
10 2 1 3.467 0.4295 0.031792 0.09457 0.4199 0.032086 0.093945
10 2 2 3.467 0.5665 0.043431 0.096221 0.5528 0.041774 0.095157
10 2 3 3.467 0.6221 0.044886 0.098047 0.6106 0.045653 0.097135
10 2 4 3.467 0.6419 0.0459 0.10017 0.6321 0.046987 0.099396
10 2 5 3.467 0.6514 0.046124 0.10176 0.6409 0.047425 0.10082
10 2 8 3.467 0.6565 0.046624 0.10536 0.6451 0.047964 0.10315
10 2 10 3.467 0.6566 0.046663 0.10625 0.6452 0.047985 0.10501
10 2 12 3.467 0.6566 0.046663 0.10636 0.6452 0.047985 0.10477
10 2 20 3.467 0.6566 0.046663 0.10883 0.6452 0.047985 0.10627
10 2 25 3.467 0.6566 0.046663 0.10959 0.6452 0.047985 0.10872
10 2 50 3.467 0.6566 0.046663 0.1153 0.6452 0.047985 0.11469
10 2 75 3.467 0.6566 0.046663 0.11993 0.6452 0.047985 0.12112
10 2 100 3.467 0.6566 0.046663 0.12587 0.6452 0.047985 0.12672
10 2 250 3.467 0.6566 0.046663 0.15846 0.6452 0.047985 0.15905
10 2 500 3.467 0.6566 0.046663 0.21209 0.6452 0.047985 0.21295
10 4 1 3.467 0.4584 0.0307 0.095908 0.4506 0.029709 0.095396
