k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 10 7 0.036 9 0.018701 0.0002 1.998e-05 0.0033082 0.002 0.0001 1e-05 0.0030802
10 10 7 0.036 10 0.018701 0 0 0.0032028 0 0 0 0.0028859
10 10 8 0.036 1 0.0255454 0.7368 0.034981 0.051686 340.46 0.7141 0.035467 0.049254
10 10 8 0.036 2 0.025545 0.4135 0.048016 0.011355 40.004 0.3975 0.044909 0.0099825
10 10 8 0.036 3 0.025545 0.1912 0.029212 0.0055782 8.353 0.1768 0.027529 0.0045617
10 10 8 0.036 4 0.025545 0.0746 0.010385 0.0040369 2.113 0.069 0.01087 0.0033884
10 10 8 0.036 5 0.025545 0.0242 0.0028372 0.0032881 0.473 0.0218 0.0031079 0.0026837
10 10 8 0.036 6 0.025545 0.0076 0.00084308 0.0030855 0.109 0.0073 0.00077749 0.002597
10 10 8 0.036 7 0.025545 0.0022 0.0002354 0.0028552 0.027 0.0011 0.0001089 0.0025385
10 10 8 0.036 8 0.025545 0.0002 1.998e-05 0.0028536 0.003 0.0001 1e-05 0.0024217
10 10 8 0.036 9 0.025545 0 0 0.0029323 0 0 0 0.0024884
10 10 8 0.036 10 0.025545 0 0 0.0028607 0 0 0 0.0024583
10 10 9 0.036 1 0.0303256 0.6034 0.044012 0.031671 177.56 0.5931 0.043546 0.029189
10 10 9 0.036 2 0.030326 0.2715 0.03221 0.0075714 15.695 0.262 0.030446 0.0062301
10 10 9 0.036 3 0.030326 0.1091 0.014722 0.0043597 2.782 0.1005 0.012983 0.0034541
10 10 9 0.036 4 0.030326 0.0451 0.0064224 0.0033122 0.695 0.0387 0.0049773 0.0026168
10 10 9 0.036 5 0.030326 0.0198 0.0026706 0.0031981 0.246 0.0177 0.0023591 0.0026366
10 10 9 0.036 6 0.030326 0.0077 0.00095166 0.002748 0.082 0.0072 0.00090907 0.0023776
10 10 9 0.036 7 0.030326 0.0025 0.00024399 0.0028546 0.025 0.0024 0.00025449 0.0025114
10 10 9 0.036 8 0.030326 0.0002 1.998e-05 0.00297 0.002 0.0004 3.988e-05 0.0025473
10 10 9 0.036 9 0.030326 0.0001 1e-05 0.0029776 0.001 0 0 0.0024409
10 10 9 0.036 10 0.030326 0 0 0.0027072 0 0 0 0.0023237
