k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 1.11398 0.2736 0.024948 0.095592 0.2715 0.026644 0.093189
10 1 2 1.114 0.3042 0.035017 0.094616 0.3043 0.037369 0.094347
10 1 3 1.114 0.3099 0.03793 0.096126 0.3094 0.039892 0.095077
10 1 4 1.114 0.3108 0.038562 0.10077 0.3098 0.039964 0.096236
10 1 5 1.114 0.3109 0.03861 0.097438 0.3098 0.039964 0.096198
10 1 8 1.114 0.3109 0.03861 0.098 0.3098 0.039964 0.097851
10 1 10 1.114 0.3109 0.03861 0.098717 0.3098 0.039964 0.098612
10 1 12 1.114 0.3109 0.03861 0.10278 0.3098 0.039964 0.10259
10 1 20 1.114 0.3109 0.03861 0.099695 0.3098 0.039964 0.099769
10 1 25 1.114 0.3109 0.03861 0.10138 0.3098 0.039964 0.10036
10 1 50 1.114 0.3109 0.03861 0.10599 0.3098 0.039964 0.10589
10 1 75 1.114 0.3109 0.03861 0.11177 0.3098 0.039964 0.11182
10 1 100 1.114 0.3109 0.03861 0.11772 0.3098 0.039964 0.11541
10 1 250 1.114 0.3109 0.03861 0.14654 0.3098 0.039964 0.14499
10 1 500 1.114 0.3109 0.03861 0.19935 0.3098 0.039964 0.19901
10 2 1 1.114 0.3878 0.02906 0.094379 0.3792 0.028516 0.094475
10 2 2 1.114 0.4625 0.041846 0.098993 0.4563 0.0395 0.097735
10 2 3 1.114 0.4858 0.048147 0.099974 0.4801 0.044799 0.097899
10 2 4 1.114 0.4923 0.050041 0.10056 0.4872 0.046643 0.099393
10 2 5 1.114 0.4944 0.0509 0.10526 0.4885 0.046724 0.10594
10 2 8 1.114 0.4945 0.050971 0.10483 0.489 0.046966 0.1039
10 2 10 1.114 0.4945 0.050971 0.10548 0.489 0.046966 0.10632
10 2 12 1.114 0.4945 0.050971 0.10656 0.489 0.046966 0.10568
10 2 20 1.114 0.4945 0.050971 0.10809 0.489 0.046966 0.1071
10 2 25 1.114 0.4945 0.050971 0.10891 0.489 0.046966 0.10843
10 2 50 1.114 0.4945 0.050971 0.11574 0.489 0.046966 0.11538
10 2 75 1.114 0.4945 0.050971 0.12305 0.489 0.046966 0.12139
10 2 100 1.114 0.4945 0.050971 0.12743 0.489 0.046966 0.12547
10 2 250 1.114 0.4945 0.050971 0.15666 0.489 0.046966 0.15593
10 2 500 1.114 0.4945 0.050971 0.20829 0.489 0.046966 0.2097
10 4 1 1.114 0.4631 0.024253 0.094689 0.4648 0.024926 0.094588
10 4 2 1.114 0.6069 0.034317 0.10079 0.613 0.031843 0.098051
10 4 3 1.114 0.6612 0.038133 0.10135 0.6713 0.03354 0.10035
10 4 4 1.114 0.6878 0.03917 0.10311 0.6986 0.034793 0.10487
10 4 5 1.114 0.6978 0.039855 0.10532 0.7101 0.035804 0.1036
