k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 12 0.0323 10 1 0.001375 13.587 0.1453 0.056334 0.063478 0 0.0061642 0.049897 0.0071325 17.187 100000 100 0.1311 0.050093 0.062482 501 219 96 59 28 14 15 18 6 21 23 
10 30 12 0.0323 10 1 0.00175 13.587 0.1084 0.048638 0.060517 0 0.0061778 0.049333 0.0046192 9.476 100000 100 0.0954 0.037616 0.059157 629 180 68 26 15 15 12 10 7 23 15 
10 30 12 0.0323 10 1 0.0025 13.587 0.0692 0.034105 0.05825 0 0.0064799 0.049019 0.0023984 3.871 100000 100 0.058 0.025001 0.056352 765 118 40 11 13 6 9 8 12 7 11 
10 30 12 0.0323 10 1 0.00375 13.587 0.0413 0.023067 0.054795 0 0.0068096 0.046665 0.0010105 1.451 100000 100 0.0325 0.015049 0.053906 872 63 17 8 3 6 4 9 6 5 7 
10 30 12 0.0323 10 1 0.005 13.587 0.0257 0.012302 0.054081 0 0.0066613 0.046647 0.00056528 0.699 100000 100 0.0204 0.0095734 0.053525 912 41 14 5 7 4 4 7 3 2 1 
10 30 12 0.0323 10 1 0.0075 13.587 0.011 0.0054845 0.053731 0 0.0067102 0.046589 0.0002355 0.234 100000 100 0.0093 0.0053889 0.053205 968 10 3 5 6 2 1 3 1 0 1 
10 30 12 0.0323 10 1 0.01 13.587 0.0056 0.0022509 0.053273 0 0.0073013 0.045642 0.00013019 0.098 100000 100 0.0047 0.0032111 0.05232 981 4 6 3 3 1 1 0 1 0 0 
10 30 14 0.0323 10 1 1e-07 31.2621 0.5785 0.066234 0.92096 0 0.025803 0.070481 0.82439 1665.2 100000 100 0.5595 0.064314 0.885 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1.375e-07 31.262 0.5785 0.066234 0.87037 0 0.02092 0.041904 0.80712 1665.2 100000 100 0.5595 0.064314 0.86882 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1.75e-07 31.262 0.5785 0.066234 0.86885 0 0.022696 0.041808 0.80393 1665.2 100000 100 0.5595 0.064314 0.86624 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 2.5e-07 31.262 0.5785 0.066234 0.9139 0 0.020896 0.043326 0.84926 1665.2 100000 100 0.5595 0.064314 0.88514 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 3.75e-07 31.262 0.5785 0.066234 0.86701 0 0.023263 0.042546 0.80075 1665.2 100000 100 0.5595 0.064314 0.86422 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 5e-07 31.262 0.5785 0.066234 0.86542 0 0.023277 0.041464 0.80025 1665.2 100000 100 0.5595 0.064314 0.86367 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 7.5e-07 31.262 0.5785 0.066234 0.86563 0 0.023269 0.041533 0.80041 1665.2 100000 100 0.5595 0.064314 0.86453 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1e-06 31.262 0.5785 0.066234 0.9545 0 0.024008 0.054803 0.87524 1665.2 100000 100 0.5595 0.064314 0.87306 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1.375e-06 31.262 0.5785 0.066234 0.84911 0 0.021346 0.041566 0.78577 1665.2 100000 100 0.5595 0.064314 0.84586 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1.75e-06 31.262 0.5785 0.066234 0.84908 0 0.017658 0.04169 0.7893 1665.2 100000 100 0.5595 0.064314 0.84864 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 2.5e-06 31.262 0.5785 0.066234 0.84817 0 0.019771 0.041567 0.78641 1665.2 100000 100 0.5595 0.064314 0.87904 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 3.75e-06 31.262 0.5785 0.066234 0.90938 0 0.018881 0.1006 0.78949 1665.2 100000 100 0.5595 0.064314 0.87236 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 5e-06 31.262 0.5785 0.066234 0.84806 0 0.017673 0.040728 0.78922 1665.2 100000 100 0.5595 0.064314 0.84672 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 7.5e-06 31.262 0.5785 0.066234 0.84842 0 0.017949 0.040679 0.78936 1665.2 100000 100 0.5595 0.064314 0.84451 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1e-05 31.262 0.5785 0.066234 0.8642 0 0.017754 0.047486 0.79854 1665.2 100000 100 0.5595 0.064314 0.9245 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1.375e-05 31.262 0.5785 0.066234 0.86261 0 0.017367 0.041481 0.80337 1665.2 100000 100 0.5595 0.064314 0.82038 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 1.75e-05 31.262 0.5785 0.066234 0.82308 0 0.017474 0.040807 0.76438 1665.2 100000 100 0.5595 0.064314 0.82053 10 34 57 105 143 127 130 101 111 80 102 
