k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 25 4000 8.3188 0.6815 0.055543 1.3909 0.6786 0.054857 1.396 0 9 33 58 90 118 113 150 130 142 157 
10 25 10000 8.3188 0.8171 0.035213 2.6957 0.8126 0.035136 2.7345 0 0 5 19 28 49 91 118 168 189 333 
10 25 20000 8.3188 0.8982 0.018936 4.4442 0.9005 0.017647 4.4957 0 0 0 3 4 23 40 74 140 196 520 
10 25 40000 8.3188 0.9529 0.0082198 7.4772 0.9584 0.0069564 7.4738 0 0 0 0 0 4 13 31 75 156 721 
10 25 100000 8.3188 0.9886 0.0020321 14.608 0.9905 0.0013411 14.521 0 0 0 0 0 1 1 7 14 56 921 
10 25 200000 8.3188 0.9958 0.0005429 23.948 0.9974 0.00029353 23.764 0 0 0 0 0 0 0 0 7 28 965 
10 25 400000 8.3188 0.9986 0.00019824 39.108 0.9994 5.97e-05 38.833 0 0 0 0 0 0 0 0 3 8 989 
10 50 25 16.3493 0.3727 0.06529 0.36107 0.3599 0.062284 0.3604 72 142 161 146 142 106 82 53 33 30 33 
10 50 50 16.349 0.3727 0.06529 0.3601 0.3599 0.062284 0.36595 72 142 161 146 142 106 82 53 33 30 33 
10 50 100 16.349 0.3727 0.06529 0.36392 0.3599 0.062284 0.36614 72 142 161 146 142 106 82 53 33 30 33 
10 50 200 16.349 0.3727 0.06529 0.36375 0.3599 0.062284 0.3663 72 142 161 146 142 106 82 53 33 30 33 
10 50 400 16.349 0.3736 0.065729 0.39364 0.3612 0.063038 0.37534 72 141 162 146 142 104 81 54 34 31 33 
10 50 1000 16.349 0.4943 0.067725 0.6133 0.4888 0.068743 0.61912 17 69 106 137 159 116 111 85 81 64 55 
10 50 2000 16.349 0.5793 0.063745 0.87536 0.5817 0.0645 0.8837 7 29 68 93 145 130 128 127 90 88 95 
10 50 4000 16.349 0.6898 0.05419 1.4003 0.6926 0.054039 1.4138 1 6 33 43 95 109 137 137 131 137 171 
10 50 10000 16.349 0.8133 0.036009 2.5252 0.8157 0.034898 2.5485 0 1 5 17 31 50 100 118 156 197 325 
10 50 20000 16.349 0.8877 0.021981 4.1231 0.8885 0.020939 4.1211 0 0 1 7 11 22 39 75 148 213 484 
10 50 40000 16.349 0.94 0.011191 6.5984 0.9454 0.0097486 6.7305 0 0 0 2 1 7 19 38 84 187 662 
10 50 100000 16.349 0.9816 0.0030445 12.85 0.9836 0.0023134 12.87 0 0 0 0 0 1 1 12 25 89 872 
10 50 200000 16.349 0.9932 0.0010348 23.639 0.9952 0.0006376 23.132 0 0 0 0 0 0 0 3 11 37 949 
