k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 8 5 13.031 0.3157 0.044208 0.40944 0.3215 0.043311 0.39533 84 147 192 187 156 99 60 38 21 8 8 
10 8 8 13.031 0.386 0.051435 0.42017 0.3964 0.052199 0.41984 48 95 171 152 184 124 93 68 27 19 19 
10 8 10 13.031 0.4199 0.053487 0.42738 0.4297 0.054522 0.42758 35 80 143 146 187 138 98 87 38 24 24 
10 8 12 13.031 0.4473 0.055889 0.46974 0.4532 0.056246 0.46906 26 70 131 140 174 138 112 96 54 31 28 
10 8 20 13.031 0.5134 0.061622 0.49125 0.5175 0.058903 0.49097 15 52 89 134 133 144 132 105 89 59 48 
10 8 25 13.031 0.5358 0.062341 0.52022 0.5387 0.060433 0.53511 12 42 80 127 137 133 130 116 95 70 58 
10 8 50 13.031 0.5728 0.064645 0.66779 0.5809 0.061126 0.66566 6 34 65 121 123 129 126 127 91 89 89 
10 8 75 13.031 0.5802 0.064693 0.8074 0.5877 0.06154 0.82273 6 33 59 119 115 137 129 124 94 85 99 
10 8 100 13.031 0.5811 0.064818 0.90598 0.5886 0.061552 0.89593 6 33 59 117 117 136 129 122 95 87 99 
10 8 250 13.031 0.5816 0.064886 1.0142 0.5889 0.061608 1.0231 6 33 58 118 117 135 130 120 97 86 100 
10 8 500 13.031 0.5816 0.064886 1.0998 0.5889 0.061608 1.1119 6 33 58 118 117 135 130 120 97 86 100 
10 16 1 13.031 0.1373 0.017776 0.37571 0.1272 0.015496 0.3773 298 328 187 119 42 16 6 2 2 0 0 
10 16 2 13.031 0.2051 0.029373 0.38948 0.1968 0.025435 0.3813 182 269 211 152 100 45 18 17 3 2 1 
10 16 3 13.031 0.2591 0.037535 0.39194 0.2511 0.033713 0.41351 126 209 205 180 118 80 43 22 9 4 4 
10 16 4 13.031 0.2981 0.041768 0.41153 0.2976 0.038373 0.39624 92 166 203 183 144 97 54 32 17 5 7 
10 16 5 13.031 0.3335 0.045653 0.40243 0.3336 0.043715 0.40441 74 135 177 181 169 113 68 38 25 12 8 
10 16 8 13.031 0.4124 0.052399 0.42464 0.4195 0.052722 0.42493 38 86 139 153 183 142 99 80 33 29 18 
10 16 10 13.031 0.4532 0.053283 0.43703 0.4603 0.054048 0.43881 24 68 105 149 178 165 102 98 54 30 27 
