	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
706	10	125	11	0.0323	1	0.493589	0.6211	0.057502	3.0174	0.041784	0.041804	0.12153	2.8118	5537.0	0.6202	0.059491	2.8814	4	14	44	73	131	132	155	129	105	97	116
724	10	125	12	0.0323	1	0.52574	0.4822	0.067651	1.582	0.041448	0.042947	0.07985	1.4173	2873.4	0.4737	0.063382	1.5612	12	81	108	159	145	126	107	80	60	64	58
742	10	150	6	0.0323	1	0.38999	0.9997	2.994e-05	36.82	0.044841	0.0090215	1.4696	35.296	78002.0	0.9997	2.994e-05	34.145	0	0	0	0	0	0	0	0	0	3	997
760	10	150	7	0.0323	1	0.442951	0.9956	0.00052116	29.152	0.050353	0.014438	0.91449	28.171	57208.0	0.9963	0.00035667	28.77	0	0	0	0	0	0	0	1	2	37	960
778	10	150	8	0.0323	1	0.572679	0.979	0.0027618	19.086	0.055093	0.022871	0.57717	18.43	37071.0	0.9746	0.0033382	18.682	0	0	0	0	0	0	1	8	25	132	834
796	10	150	9	0.0323	1	0.530472	0.9145	0.013954	11.382	0.067046	0.037695	0.35371	10.922	22070.0	0.9139	0.01323	10.516	0	0	0	0	4	4	40	55	130	226	541
814	10	150	10	0.0323	1	0.552028	0.8185	0.031379	6.474	0.05863	0.049288	0.22756	6.1377	12231.0	0.8143	0.030096	6.3015	0	2	3	10	27	38	95	134	184	201	306
832	10	150	11	0.0323	1	0.575207	0.6839	0.052603	3.5271	0.054053	0.054274	0.14663	3.2717	6539.1	0.6646	0.055542	3.4106	2	7	24	49	92	109	157	159	111	119	171
850	10	150	12	0.0323	1	0.501358	0.5311	0.065348	2.2722	0.054498	0.053733	0.10727	2.0563	3410.9	0.5286	0.065988	1.7147	8	45	92	127	151	131	123	98	83	66	76
868	10	200	6	0.0323	1	0.610958	0.9999	1e-05	42.543	0.055753	0.012198	1.7695	40.704	84223.0	0.9998	1.998e-05	41.939	0	0	0	0	0	0	0	0	0	1	999
886	10	200	7	0.0323	1	0.639299	0.9994	5.97e-05	33.16	0.062358	0.020391	1.1225	31.953	64961.0	0.9982	0.00017694	32.711	0	0	0	0	0	0	0	0	0	6	994
904	10	200	8	0.0323	1	0.600908	0.9902	0.0011451	22.572	0.068264	0.030407	0.74888	21.723	44542.0	0.9917	0.00096207	22.172	0	0	0	0	0	0	0	0	13	72	915
922	10	200	9	0.0323	1	0.714307	0.9522	0.0073825	15.317	0.084838	0.060038	0.54918	14.622	27316.0	0.9575	0.0055693	13.899	0	0	0	0	0	3	10	27	73	196	691
940	10	200	10	0.0323	1	0.678747	0.8752	0.022387	8.1624	0.081657	0.06404	0.31983	7.696	15561.0	0.8748	0.021046	7.9023	0	0	1	6	4	29	52	95	172	192	449
958	10	200	11	0.0323	1	0.693587	0.7572	0.040108	4.6554	0.075037	0.077149	0.20981	4.2929	8462.1	0.7543	0.043345	4.4299	0	3	6	22	46	96	116	159	176	150	226
976	10	200	12	0.0323	1	0.810674	0.6104	0.061433	2.4968	0.071488	0.071532	0.1497	2.2036	4456.5	0.6083	0.060321	2.391	4	19	42	108	111	149	128	126	101	90	122
