k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 0.001 6.7116 0.8255 0.044765 0.12368 0 0.0024127 0.014627 0.10635 313.29 58000 100 100 0.8227 0.046601 0.12274 4 7 9 16 38 54 60 89 129 195 399 
10 5 12 0.036 10 1 0.001375 6.7116 0.7898 0.05371 0.097029 0 0.0023455 0.014313 0.080091 235.29 58000 100 100 0.7852 0.055136 0.095788 5 9 16 33 40 73 64 104 125 189 342 
10 5 12 0.036 10 1 0.00175 6.7116 0.7523 0.062978 0.079147 0 0.0022694 0.01412 0.062471 181.72 58000 100 100 0.7505 0.062442 0.078829 11 12 25 41 56 75 74 109 126 186 285 
10 5 12 0.036 10 1 0.0025 6.7116 0.6904 0.075323 0.061566 0 0.0025121 0.015528 0.043239 118.41 58000 100 100 0.686 0.072977 0.060036 19 27 42 56 65 86 95 99 126 186 199 
10 5 12 0.036 10 1 0.00375 6.7116 0.5881 0.089558 0.040492 0 0.0025534 0.013267 0.024383 64.547 58000 100 100 0.5877 0.086145 0.038382 54 44 68 86 93 70 101 117 121 132 114 
10 5 12 0.036 10 1 0.005 6.7116 0.4996 0.094254 0.030756 0 0.0018405 0.01262 0.016013 41.061 58000 100 100 0.504 0.090835 0.02992 88 82 88 102 92 75 110 108 94 89 72 
10 5 12 0.036 10 1 0.0075 6.7116 0.3703 0.084853 0.022261 0 0.0018122 0.012029 0.0080594 18.747 58000 100 100 0.3604 0.082695 0.021212 174 125 116 110 88 89 83 84 68 41 22 
10 5 12 0.036 10 1 0.01 6.7116 0.2677 0.069636 0.018572 0 0.0018335 0.011697 0.0046927 9.989 58000 100 100 0.2585 0.068056 0.017894 286 157 119 100 90 77 68 40 28 25 10 
10 5 13 0.036 10 1 1e-07 9.0343 0.7765 0.0626 0.11452 0 0.0040899 0.015283 0.094949 249.81 58000 100 100 0.7895 0.058158 0.11016 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1.375e-07 9.0343 0.7765 0.0626 0.11177 0 0.0028736 0.014425 0.09419 249.81 58000 100 100 0.7895 0.058158 0.11103 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1.75e-07 9.0343 0.7765 0.0626 0.11037 0 0.0029378 0.013394 0.093747 249.81 58000 100 100 0.7895 0.058158 0.10948 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 2.5e-07 9.0343 0.7765 0.0626 0.11039 0 0.0029776 0.013347 0.09378 249.81 58000 100 100 0.7895 0.058158 0.10968 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 3.75e-07 9.0343 0.7765 0.0626 0.11038 0 0.0029175 0.013415 0.093761 249.81 58000 100 100 0.7895 0.058158 0.10989 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 5e-07 9.0343 0.7765 0.0626 0.11003 0 0.0030704 0.013311 0.093361 249.81 58000 100 100 0.7895 0.058158 0.10939 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 7.5e-07 9.0343 0.7765 0.0626 0.11046 0 0.0029444 0.013383 0.093852 249.81 58000 100 100 0.7895 0.058158 0.1095 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1e-06 9.0343 0.7765 0.0626 0.11033 0 0.0028893 0.013419 0.093737 249.81 58000 100 100 0.7895 0.058158 0.11029 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1.375e-06 9.0343 0.7765 0.0626 0.11122 0 0.0030354 0.01359 0.09431 249.81 58000 100 100 0.7895 0.058158 0.10982 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1.75e-06 9.0343 0.7765 0.0626 0.11085 0 0.0029808 0.013528 0.094062 249.81 58000 100 100 0.7895 0.058158 0.10986 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 2.5e-06 9.0343 0.7765 0.0626 0.11043 0 0.0029125 0.013427 0.093802 249.81 58000 100 100 0.7895 0.058158 0.10954 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 3.75e-06 9.0343 0.7765 0.0626 0.11047 0 0.0028909 0.013439 0.093848 249.81 58000 100 100 0.7895 0.058158 0.1095 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 5e-06 9.0343 0.7765 0.0626 0.1105 0 0.0028956 0.013412 0.0939 249.81 58000 100 100 0.7895 0.058158 0.10951 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 7.5e-06 9.0343 0.7765 0.0626 0.11042 0 0.0029253 0.01359 0.093622 249.81 58000 100 100 0.7895 0.058158 0.10947 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1e-05 9.0343 0.7765 0.0626 0.11396 0 0.0037941 0.014279 0.095598 249.81 58000 100 100 0.7895 0.058158 0.10997 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1.375e-05 9.0343 0.7765 0.0626 0.11037 0 0.0029152 0.013427 0.093747 249.81 58000 100 100 0.7895 0.058158 0.10938 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 1.75e-05 9.0343 0.7765 0.0626 0.11032 0 0.002891 0.013362 0.093785 249.81 58000 100 100 0.7895 0.058158 0.10948 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 2.5e-05 9.0343 0.7765 0.0626 0.11029 0 0.0028584 0.013491 0.09365 249.81 58000 100 100 0.7895 0.058158 0.10945 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 3.75e-05 9.0343 0.7765 0.0626 0.1103 0 0.0028625 0.013395 0.093755 249.81 58000 100 100 0.7895 0.058158 0.10955 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 5e-05 9.0343 0.7765 0.0626 0.11017 0 0.0028706 0.013416 0.093603 249.81 58000 100 100 0.7895 0.058158 0.1094 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 7.5e-05 9.0343 0.7765 0.0626 0.11022 0 0.0028663 0.013342 0.093729 249.81 58000 100 100 0.7895 0.058158 0.10949 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 0.0001 9.0343 0.7765 0.0626 0.11031 0 0.0028672 0.013494 0.093662 249.81 58000 100 100 0.7895 0.058158 0.10945 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 0.0001375 9.0343 0.7765 0.0626 0.11031 0 0.002854 0.013458 0.093716 249.81 58000 100 100 0.7895 0.058158 0.10971 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 0.000175 9.0343 0.7765 0.0626 0.11803 0 0.0028903 0.020988 0.093849 249.81 58000 100 100 0.7895 0.058158 0.11117 8 16 27 34 53 46 74 92 126 185 339 
