k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 10 6 0.045 3 0.035544 0.003 0.00029394 0.014136 127.71 0.003 0.00029394 0.010371
10 10 6 0.045 4 0.035544 0 0 0.0064789 8.56 0 0 0.0065048
10 10 6 0.045 5 0.035544 0 0 0.0058887 0.38 0 0 0.006278
10 10 6 0.045 6 0.035544 0 0 0.0056612 0.01 0 0 0.0062107
10 10 6 0.045 7 0.035544 0 0 0.005903 0 0 0 0.0062399
10 10 6 0.045 8 0.035544 0 0 0.0056505 0 0 0 0.0061972
10 10 6 0.045 9 0.035544 0 0 0.0056698 0 0 0 0.0062152
10 10 6 0.045 10 0.035544 0 0 0.0056799 0 0 0 0.0062038
10 10 7 0.045 1 0.0429925 0.101 0.0077768 0.23591 7468.8 0.119 0.0086253 0.23306
10 10 7 0.045 2 0.042993 0.004 0.00038788 0.015161 333.08 0.009 0.00082727 0.014707
10 10 7 0.045 3 0.042993 0 0 0.0059003 10.48 0.001 0.0001 0.0045937
10 10 7 0.045 4 0.042993 0 0 0.0040173 0.2 0 0 0.0041576
10 10 7 0.045 5 0.042993 0 0 0.0039593 0.01 0 0 0.0041633
10 10 7 0.045 6 0.042993 0 0 0.0038813 0 0 0 0.004094
10 10 7 0.045 7 0.042993 0 0 0.0038701 0 0 0 0.0040946
10 10 7 0.045 8 0.042993 0 0 0.0039177 0 0 0 0.0042497
10 10 7 0.045 9 0.042993 0 0 0.0039168 0 0 0 0.0041526
10 10 7 0.045 10 0.042993 0 0 0.0039807 0 0 0 0.0040931
10 10 8 0.045 1 0.0534751 0.054 0.0047313 0.12194 3820.8 0.047 0.0039303 0.11998
10 10 8 0.045 2 0.053475 0.002 0.00019798 0.0065088 84.19 0.002 0.00019798 0.0063333
10 10 8 0.045 3 0.053475 0 0 0.0031869 1.24 0 0 0.0029772
10 10 8 0.045 4 0.053475 0 0 0.0028754 0.01 0 0 0.002882
10 10 8 0.045 5 0.053475 0 0 0.00284 0 0 0 0.0027588
10 10 8 0.045 6 0.053475 0 0 0.0027744 0 0 0 0.0027443
10 10 8 0.045 7 0.053475 0 0 0.0028531 0 0 0 0.0027633
10 10 8 0.045 8 0.053475 0 0 0.0028901 0 0 0 0.0029342
10 10 8 0.045 9 0.053475 0 0 0.0029805 0 0 0 0.0029049
10 10 8 0.045 10 0.053475 0 0 0.0029532 0 0 0 0.0028841
10 25 3 0.045 1 0.020196 0.901 0.0085848 3.1064 86933 0.9 0.010101 3.1112
10 25 3 0.045 2 0.020196 0.788 0.016016 2.6114 72051 0.782 0.016844 2.5948
10 25 3 0.045 3 0.020196 0.617 0.019001 1.9788 54859 0.614 0.023438 1.9811
10 25 3 0.045 4 0.020196 0.467 0.018193 1.4046 38746 0.46 0.025051 1.4088
10 25 3 0.045 5 0.020196 0.32 0.012121 0.94852 25496 0.336 0.023135 0.94561
10 25 3 0.045 6 0.020196 0.215 0.013207 0.67 15714 0.209 0.017999 0.60685
10 25 3 0.045 7 0.020196 0.132 0.010885 0.38645 9095.2 0.134 0.011964 0.38354
10 25 3 0.045 8 0.020196 0.075 0.0079545 0.24548 4939 0.069 0.0068071 0.2465
10 25 3 0.045 9 0.020196 0.044 0.0057212 0.15772 2527.6 0.043 0.0049 0.1609
10 25 3 0.045 10 0.020196 0.028 0.0032485 0.10636 1213.6 0.027 0.002799 0.11026
10 25 3 0.045 11 0.020196 0.011 0.00098889 0.08179 549.53 0.013 0.0017485 0.086681
10 25 3 0.045 12 0.020196 0.007 0.00065758 0.070751 232.5 0.006 0.0005697 0.075742
10 25 3 0.045 13 0.020196 0.003 0.00029394 0.066464 91.87 0.001 0.0001 0.07065
10 25 3 0.045 14 0.020196 0.003 0.00029394 0.06381 34.28 0 0 0.068651
10 25 3 0.045 15 0.020196 0 0 0.063109 11.51 0 0 0.068165
10 25 3 0.045 17 0.020196 0 0 0.063032 0.93 0 0 0.068716
10 25 3 0.045 20 0.020196 0 0 0.064394 0.01 0 0 0.069758
10 25 3 0.045 25 0.020196 0 0 0.064274 0 0 0 0.068869
10 25 4 0.045 1 0.0259842 0.756 0.019661 2.5127 70041 0.768 0.019774 2.5033
10 25 4 0.045 2 0.025984 0.535 0.024318 1.517 43058 0.503 0.033425 1.5245
10 25 4 0.045 3 0.025984 0.317 0.021829 0.82548 23394 0.296 0.028065 0.82754
10 25 4 0.045 4 0.025984 0.165 0.015429 0.41998 11433 0.149 0.018888 0.41953
10 25 4 0.045 5 0.025984 0.08 0.0072727 0.21323 5077.3 0.079 0.0087465 0.21201
10 25 4 0.045 6 0.025984 0.031 0.0027667 0.11292 2073.5 0.044 0.0043071 0.11218
10 25 4 0.045 7 0.025984 0.009 0.00082727 0.063977 778.75 0.015 0.0014899 0.064191
10 25 4 0.045 8 0.025984 0.002 0.00019798 0.04376 270.94 0.005 0.0004798 0.044857
10 25 4 0.045 9 0.025984 0 0 0.036605 87.38 0 0 0.038248
10 25 4 0.045 10 0.025984 0 0 0.034214 26.25 0 0 0.036369
10 25 4 0.045 11 0.025984 0 0 0.033933 7.5 0 0 0.035685
10 25 4 0.045 12 0.025984 0 0 0.036484 1.95 0 0 0.035708
10 25 4 0.045 13 0.025984 0 0 0.03359 0.48 0 0 0.03543
10 25 4 0.045 14 0.025984 0 0 0.033244 0.1 0 0 0.035397
10 25 4 0.045 15 0.025984 0 0 0.033203 0.01 0 0 0.035453
10 25 4 0.045 17 0.025984 0 0 0.033409 0 0 0 0.035377
10 25 4 0.045 20 0.025984 0 0 0.033193 0 0 0 0.035439
10 25 4 0.045 25 0.025984 0 0 0.033715 0 0 0 0.0354
10 25 5 0.045 1 0.0307728 0.562 0.02339 1.713 49074 0.593 0.022072 1.7112
10 25 5 0.045 2 0.030773 0.256 0.01461 0.68281 19577 0.286 0.020004 0.6857
10 25 5 0.045 3 0.030773 0.105 0.0075505 0.25275 6697.6 0.116 0.012671 0.25319
10 25 5 0.045 4 0.030773 0.038 0.0031879 0.10343 2036.1 0.039 0.0034131 0.10294
10 25 5 0.045 5 0.030773 0.013 0.0011424 0.053143 561.43 0.012 0.0010667 0.052139
10 25 5 0.045 6 0.030773 0.007 0.00065758 0.036327 140.68 0.003 0.00029394 0.035243
10 25 5 0.045 7 0.030773 0.002 0.00019798 0.030794 31.47 0 0 0.030994
10 25 5 0.045 8 0.030773 0.001 0.0001 0.029735 6.04 0 0 0.030133
10 25 5 0.045 9 0.030773 0 0 0.029466 1.09 0 0 0.03001
10 25 5 0.045 10 0.030773 0 0 0.029696 0.16 0 0 0.029939
10 25 5 0.045 11 0.030773 0 0 0.02934 0.05 0 0 0.029869
10 25 5 0.045 12 0.030773 0 0 0.029288 0 0 0 0.029878
10 25 5 0.045 13 0.030773 0 0 0.029293 0 0 0 0.029875
10 25 5 0.045 14 0.030773 0 0 0.029291 0 0 0 0.029865
10 25 5 0.045 15 0.030773 0 0 0.029277 0 0 0 0.029959
10 25 5 0.045 17 0.030773 0 0 0.029262 0 0 0 0.029874
10 25 5 0.045 20 0.030773 0 0 0.029211 0 0 0 0.030005
10 25 5 0.045 25 0.030773 0 0 0.029484 0 0 0 0.029878
10 25 6 0.045 1 0.0365021 0.353 0.02191 1.0131 30303 0.394 0.02461 1.0125
10 25 6 0.045 2 0.036502 0.093 0.0071222 0.23962 7105.7 0.106 0.0092566 0.23858
10 25 6 0.045 3 0.036502 0.024 0.0018424 0.058807 1382.3 0.026 0.0023475 0.057214
10 25 6 0.045 4 0.036502 0.004 0.00038788 0.0212 231.42 0.008 0.00094545 0.01922
10 25 6 0.045 5 0.036502 0.002 0.00019798 0.012122 35.17 0.001 0.0001 0.011436
10 25 6 0.045 6 0.036502 0.001 0.0001 0.010296 4.68 0 0 0.010676
10 25 6 0.045 7 0.036502 0 0 0.010132 0.62 0 0 0.010547
10 25 6 0.045 8 0.036502 0 0 0.010102 0.11 0 0 0.010506
10 25 6 0.045 9 0.036502 0 0 0.01009 0.01 0 0 0.01049
10 25 6 0.045 10 0.036502 0 0 0.010258 0 0 0 0.0105
10 25 6 0.045 11 0.036502 0 0 0.010068 0 0 0 0.010485
10 25 6 0.045 12 0.036502 0 0 0.010188 0 0 0 0.010487
10 25 6 0.045 13 0.036502 0 0 0.010106 0 0 0 0.01049
10 25 6 0.045 14 0.036502 0 0 0.012339 0 0 0 0.010974
