k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 32 4 6.8663 0.004 0.0005899 0.019207 0.002 0.00019798 0.019129
10 32 5 6.8663 0.004 0.0005899 0.019801 0.003 0.00029394 0.019381
10 32 8 6.8663 0.008 0.0011475 0.021096 0.004 0.00038788 0.020462
10 32 10 6.8663 0.009 0.0012313 0.02142 0.004 0.00038788 0.021123
10 32 12 6.8663 0.009 0.0012313 0.021893 0.005 0.0004798 0.021766
10 32 20 6.8663 0.01 0.0013131 0.024879 0.011 0.00098889 0.024542
10 32 25 6.8663 0.011 0.0013929 0.026199 0.011 0.00098889 0.026043
10 32 50 6.8663 0.014 0.0016202 0.035282 0.014 0.0014182 0.034647
10 32 75 6.8663 0.018 0.0018949 0.043299 0.019 0.0019586 0.042864
10 32 100 6.8663 0.022 0.0021374 0.05141 0.022 0.0025414 0.051263
10 32 250 6.8663 0.04 0.0040404 0.099662 0.037 0.0037687 0.10028
10 32 500 6.8663 0.064 0.0059636 0.17749 0.057 0.0057081 0.18004
10 64 1 6.8663 0.003 0.00049596 0.022535 0.002 0.00019798 0.021693
10 64 2 6.8663 0.004 0.0005899 0.0224 0.002 0.00019798 0.022028
10 64 3 6.8663 0.004 0.0005899 0.022687 0.003 0.00029394 0.022447
10 64 4 6.8663 0.004 0.0005899 0.023344 0.003 0.00029394 0.022845
10 64 5 6.8663 0.004 0.0005899 0.02402 0.003 0.00029394 0.02323
10 64 8 6.8663 0.009 0.0012313 0.02525 0.005 0.0004798 0.026152
10 64 10 6.8663 0.009 0.0012313 0.025851 0.006 0.0005697 0.025173
10 64 12 6.8663 0.012 0.0014707 0.025807 0.006 0.0005697 0.026012
10 64 20 6.8663 0.013 0.0015465 0.028989 0.011 0.00098889 0.028671
10 64 25 6.8663 0.013 0.0015465 0.030819 0.015 0.0012879 0.030377
10 64 50 6.8663 0.016 0.0017616 0.039827 0.021 0.0016758 0.0394
10 64 75 6.8663 0.023 0.0023949 0.048951 0.023 0.0019909 0.049621
10 64 100 6.8663 0.026 0.0025495 0.057967 0.027 0.0023949 0.058747
10 64 250 6.8663 0.043 0.0036879 0.11202 0.046 0.0055394 0.11164
10 64 500 6.8663 0.071 0.0063222 0.20793 0.074 0.007802 0.20192
10 128 1 6.8663 0.003 0.00049596 0.02879 0.002 0.00019798 0.028653
10 128 2 6.8663 0.004 0.0005899 0.029241 0.002 0.00019798 0.028796
10 128 3 6.8663 0.004 0.0005899 0.029377 0.002 0.00019798 0.029259
10 128 4 6.8663 0.004 0.0005899 0.030083 0.003 0.00029394 0.029671
10 128 5 6.8663 0.004 0.0005899 0.030162 0.003 0.00029394 0.030047
10 128 8 6.8663 0.007 0.0008596 0.031302 0.005 0.0004798 0.031161
10 128 10 6.8663 0.009 0.0012313 0.032149 0.006 0.0005697 0.031895
10 128 12 6.8663 0.009 0.0012313 0.032793 0.006 0.0005697 0.032581
10 128 20 6.8663 0.014 0.0016202 0.035809 0.008 0.00074343 0.035398
10 128 25 6.8663 0.015 0.0016919 0.037426 0.012 0.0010667 0.0377
10 128 50 6.8663 0.019 0.0021606 0.046906 0.021 0.0018778 0.046703
10 128 75 6.8663 0.021 0.0022818 0.055991 0.026 0.0023475 0.055909
10 128 100 6.8663 0.026 0.0027515 0.065555 0.027 0.0023949 0.065467
10 128 250 6.8663 0.044 0.003701 0.12249 0.049 0.0053525 0.12285
10 128 500 6.8663 0.068 0.0064404 0.2219 0.085 0.0079545 0.22173
10 256 1 6.8663 0.003 0.00049596 0.041082 0.002 0.00019798 0.040736
10 256 2 6.8663 0.004 0.0005899 0.041235 0.002 0.00019798 0.041096
10 256 3 6.8663 0.004 0.0005899 0.042612 0.002 0.00019798 0.041527
10 256 4 6.8663 0.004 0.0005899 0.042194 0.003 0.00029394 0.042369
10 256 5 6.8663 0.004 0.0005899 0.043787 0.003 0.00029394 0.042464
10 256 8 6.8663 0.005 0.00068182 0.043637 0.005 0.0004798 0.043588
10 256 10 6.8663 0.008 0.0011475 0.044717 0.005 0.0004798 0.046181
10 256 12 6.8663 0.009 0.0012313 0.047554 0.006 0.0005697 0.046424
10 256 20 6.8663 0.014 0.0016202 0.048301 0.007 0.00065758 0.04806
10 256 25 6.8663 0.015 0.0016919 0.049978 0.011 0.00098889 0.050009
10 256 50 6.8663 0.019 0.0021606 0.059785 0.02 0.0018182 0.059499
10 256 75 6.8663 0.021 0.0022818 0.069084 0.025 0.002096 0.068787
10 256 100 6.8663 0.024 0.0026505 0.079087 0.026 0.0023475 0.078653
10 256 250 6.8663 0.048 0.0039354 0.1394 0.051 0.0047465 0.13821
10 256 500 6.8663 0.077 0.0058293 0.24319 0.092 0.0082182 0.24449
10 512 1 6.8663 0.003 0.00049596 0.060199 0.002 0.00019798 0.059954
10 512 2 6.8663 0.004 0.0005899 0.060479 0.002 0.00019798 0.060376
10 512 3 6.8663 0.004 0.0005899 0.060842 0.002 0.00019798 0.060681
10 512 4 6.8663 0.004 0.0005899 0.061161 0.003 0.00029394 0.06132
10 512 5 6.8663 0.004 0.0005899 0.06177 0.003 0.00029394 0.061459
10 512 8 6.8663 0.005 0.00068182 0.062787 0.005 0.0004798 0.062602
10 512 10 6.8663 0.008 0.0011475 0.063557 0.005 0.0004798 0.06341
10 512 12 6.8663 0.009 0.0012313 0.064556 0.006 0.0005697 0.064282
10 512 20 6.8663 0.014 0.0016202 0.067332 0.007 0.00065758 0.067155
10 512 25 6.8663 0.015 0.0016919 0.069166 0.011 0.00098889 0.069282
10 512 50 6.8663 0.019 0.0021606 0.079171 0.019 0.0017566 0.079384
10 512 75 6.8663 0.021 0.0022818 0.088738 0.025 0.002096 0.0882
10 512 100 6.8663 0.024 0.0026505 0.098346 0.026 0.0023475 0.098502
10 512 250 6.8663 0.048 0.0039354 0.15952 0.052 0.0051475 0.15976
10 512 500 6.8663 0.08 0.0060606 0.2659 0.094 0.0084485 0.26604
10 1024 1 6.8663 0.003 0.00049596 0.084968 0.002 0.00019798 0.083673
10 1024 2 6.8663 0.004 0.0005899 0.084189 0.002 0.00019798 0.084179
10 1024 3 6.8663 0.004 0.0005899 0.085066 0.002 0.00019798 0.085193
10 1024 4 6.8663 0.004 0.0005899 0.085002 0.003 0.00029394 0.085211
10 1024 5 6.8663 0.004 0.0005899 0.085472 0.003 0.00029394 0.085574
