k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 10 7 0.036 9 0.052468 0.0041 0.0006138 0.0071091 0.047 0.0039 0.00045525 0.0067598
10 10 7 0.036 10 0.052468 0.0003 2.994e-05 0.0070484 0.003 0.0005 4.98e-05 0.0067477
10 10 8 0.036 1 0.0566624 0.8595 0.033123 0.053287 242.93 0.8588 0.031914 0.0514
10 10 8 0.036 2 0.056662 0.6404 0.086614 0.020072 45.235 0.6275 0.089143 0.01834
10 10 8 0.036 3 0.056662 0.42 0.093694 0.013304 15.32 0.4144 0.099152 0.011984
10 10 8 0.036 4 0.056662 0.2486 0.064903 0.010537 5.802 0.2416 0.066216 0.0095806
10 10 8 0.036 5 0.056662 0.1253 0.032082 0.0090729 2.148 0.1213 0.031568 0.0084101
10 10 8 0.036 6 0.056662 0.056 0.011816 0.0082768 0.78 0.0534 0.012321 0.0077481
10 10 8 0.036 7 0.056662 0.0193 0.0031206 0.0077088 0.239 0.0188 0.0034901 0.0073908
10 10 8 0.036 8 0.056662 0.0052 0.00059355 0.007609 0.062 0.0051 0.00072471 0.0071961
10 10 8 0.036 9 0.056662 0.0008 9.9459e-05 0.0075522 0.009 0.0008 9.9459e-05 0.0071097
10 10 8 0.036 10 0.056662 0.0004 5.99e-05 0.0075729 0.004 0.0001 1e-05 0.007113
10 10 9 0.036 1 0.0639985 0.7584 0.047297 0.034008 127.97 0.75 0.051612 0.032064
10 10 9 0.036 2 0.063999 0.4637 0.072645 0.01486 19.906 0.4623 0.079028 0.013485
10 10 9 0.036 3 0.063999 0.2443 0.051099 0.010933 5.752 0.2449 0.055429 0.010076
10 10 9 0.036 4 0.063999 0.1093 0.022046 0.0094433 1.822 0.1147 0.023477 0.0088158
10 10 9 0.036 5 0.063999 0.0389 0.0061229 0.0086744 0.537 0.0457 0.0077092 0.0081825
10 10 9 0.036 6 0.063999 0.0121 0.0015852 0.0083369 0.146 0.0172 0.0025467 0.0078437
10 10 9 0.036 7 0.063999 0.0038 0.00050607 0.0080771 0.042 0.0048 0.0007377 0.0076734
10 10 9 0.036 8 0.063999 0.001 9.9099e-05 0.008037 0.01 0.0011 0.0001089 0.0075782
10 10 9 0.036 9 0.063999 0.0001 1e-05 0.0080832 0.001 0.0003 2.994e-05 0.0076098
10 10 9 0.036 10 0.063999 0 0 0.0080328 0 0 0 0.0075946
10 10 10 0.036 1 0.0594991 0.6331 0.058072 0.025272 66.461 0.6317 0.056522 0.0236
10 10 10 0.036 2 0.059499 0.3196 0.051768 0.013328 8.705 0.3159 0.05291 0.012128
10 10 10 0.036 3 0.059499 0.1356 0.022035 0.011111 2.204 0.1332 0.0223 0.010263
10 10 10 0.036 4 0.059499 0.0484 0.0067642 0.010037 0.638 0.0484 0.006584 0.0095747
10 10 10 0.036 5 0.059499 0.0148 0.0016226 0.0094204 0.178 0.0149 0.0017898 0.0091287
10 10 10 0.036 6 0.059499 0.0033 0.00033945 0.0093527 0.038 0.0041 0.00045364 0.0088691
10 10 10 0.036 7 0.059499 0.0009 8.9279e-05 0.0093006 0.01 0.0008 7.9439e-05 0.0087941
10 10 10 0.036 8 0.059499 0.0003 2.994e-05 0.0092969 0.003 0.0002 1.998e-05 0.0087266
10 10 10 0.036 9 0.059499 0.0001 1e-05 0.0093241 0.001 0 0 0.0087653
10 10 10 0.036 10 0.059499 0 0 0.0093535 0 0 0 0.0088257
10 10 11 0.036 1 0.0772112 0.4704 0.04617 0.019784 34.712 0.4681 0.04714 0.018066
10 10 11 0.036 2 0.077211 0.1704 0.023547 0.012305 3.455 0.1643 0.023899 0.011268
10 10 11 0.036 3 0.077211 0.0538 0.0067323 0.010669 0.71 0.0504 0.0069668 0.010024
10 10 11 0.036 4 0.077211 0.0147 0.0015354 0.009922 0.167 0.0124 0.0015678 0.0094359
10 10 11 0.036 5 0.077211 0.0035 0.00035811 0.0098433 0.036 0.0022 0.00025542 0.0092188
10 10 11 0.036 6 0.077211 0.0012 0.00011868 0.0097145 0.012 0.0002 1.998e-05 0.0091625
10 10 11 0.036 7 0.077211 0.0002 1.998e-05 0.0098363 0.002 0 0 0.0091881
10 10 11 0.036 8 0.077211 0 0 0.0098872 0 0 0 0.0092141
10 10 11 0.036 9 0.077211 0 0 0.0097459 0 0 0 0.0092609
10 10 11 0.036 10 0.077211 0 0 0.0097521 0 0 0 0.0092578
10 10 12 0.036 1 0.111607 0.3285 0.03233 0.018585 17.975 0.3278 0.031959 0.016722
10 10 12 0.036 2 0.11161 0.0802 0.0092372 0.013071 1.321 0.0829 0.0096673 0.012219
10 10 12 0.036 3 0.11161 0.0172 0.0019061 0.011807 0.204 0.0165 0.0017395 0.011321
10 10 12 0.036 4 0.11161 0.0021 0.0002058 0.011474 0.022 0.0034 0.00034879 0.011066
10 10 12 0.036 5 0.11161 0.0003 2.994e-05 0.011644 0.003 0.0005 4.98e-05 0.011011
10 10 12 0.036 6 0.11161 0 0 0.011428 0 0.0002 1.998e-05 0.011059
10 10 12 0.036 7 0.11161 0 0 0.011482 0 0 0 0.011103
10 10 12 0.036 8 0.11161 0 0 0.011507 0 0 0 0.011098
10 10 12 0.036 9 0.11161 0 0 0.011498 0 0 0 0.011107
10 10 12 0.036 10 0.11161 0 0 0.011494 0 0 0 0.011111
10 25 6 0.036 1 0.0693607 0.9968 0.00039015 0.29046 1607.9 0.9956 0.00070134 0.28993
10 25 6 0.036 2 0.069361 0.984 0.0027067 0.12306 579.99 0.9792 0.0044118 0.12219
10 25 6 0.036 3 0.069361 0.9529 0.011503 0.073299 293.99 0.9448 0.015929 0.074423
10 25 6 0.036 4 0.069361 0.9052 0.030203 0.054026 182.07 0.8961 0.035891 0.052492
10 25 6 0.036 5 0.069361 0.8452 0.055693 0.043442 125.12 0.8365 0.061119 0.041122
10 25 6 0.036 6 0.069361 0.7757 0.088008 0.033306 91.023 0.7697 0.090522 0.031028
10 25 6 0.036 7 0.069361 0.7073 0.11866 0.027726 67.932 0.6992 0.11978 0.026932
10 25 6 0.036 8 0.069361 0.6391 0.14641 0.024939 50.891 0.6288 0.14772 0.024159
10 25 6 0.036 9 0.069361 0.5758 0.16484 0.022646 38.041 0.568 0.1667 0.022003
10 25 6 0.036 10 0.069361 0.5136 0.17243 0.020782 27.945 0.5085 0.17319 0.020304
10 25 6 0.036 11 0.069361 0.4477 0.16774 0.019304 20.262 0.4508 0.17067 0.018901
10 25 6 0.036 12 0.069361 0.3869 0.15373 0.018027 14.3 0.3884 0.15814 0.017819
10 25 6 0.036 13 0.069361 0.3196 0.12973 0.017008 9.841 0.3259 0.13563 0.016775
10 25 6 0.036 14 0.069361 0.2505 0.10062 0.016141 6.444 0.2545 0.10394 0.016117
10 25 6 0.036 15 0.069361 0.1871 0.072456 0.015502 4.107 0.1897 0.074599 0.015442
10 25 6 0.036 16 0.069361 0.1315 0.048266 0.014992 2.419 0.134 0.048913 0.014961
10 25 6 0.036 17 0.069361 0.0886 0.03008 0.014532 1.4 0.0877 0.029008 0.014567
10 25 6 0.036 20 0.069361 0.0141 0.0031143 0.013818 0.161 0.0158 0.0030734 0.014025
10 25 7 0.036 1 0.0798172 0.9876 0.0024086 0.17359 901.81 0.9882 0.002223 0.17163
10 25 7 0.036 2 0.079817 0.951 0.012171 0.072021 277.69 0.954 0.011876 0.070796
10 25 7 0.036 3 0.079817 0.8857 0.035161 0.046732 135.22 0.8898 0.035872 0.045294
10 25 7 0.036 4 0.079817 0.8044 0.06895 0.036576 80.609 0.8091 0.067495 0.035221
10 25 7 0.036 5 0.079817 0.7148 0.10609 0.031095 53.13 0.7188 0.10429 0.029935
10 25 7 0.036 6 0.079817 0.6325 0.13529 0.027633 36.417 0.633 0.13316 0.026613
10 25 7 0.036 7 0.079817 0.554 0.15342 0.025331 25.476 0.5574 0.14795 0.024401
10 25 7 0.036 8 0.079817 0.4799 0.15862 0.023466 17.829 0.4762 0.15341 0.022667
10 25 7 0.036 9 0.079817 0.4064 0.14659 0.022942 12.307 0.4018 0.14318 0.022316
10 25 7 0.036 10 0.079817 0.3362 0.12521 0.020771 8.397 0.3316 0.12212 0.02019
10 25 7 0.036 11 0.079817 0.2593 0.094048 0.019959 5.534 0.2608 0.095098 0.019437
10 25 7 0.036 12 0.079817 0.1933 0.065811 0.01923 3.563 0.1958 0.068931 0.018873
10 25 7 0.036 13 0.079817 0.1382 0.043244 0.018657 2.214 0.1425 0.048412 0.018365
10 25 7 0.036 14 0.079817 0.0888 0.023718 0.018292 1.274 0.0934 0.027264 0.01798
10 25 7 0.036 15 0.079817 0.0539 0.012617 0.017887 0.72 0.0591 0.015112 0.017777
10 25 7 0.036 16 0.079817 0.0291 0.005829 0.017341 0.361 0.035 0.0081231 0.017554
10 25 7 0.036 17 0.079817 0.0177 0.0033801 0.017449 0.201 0.0186 0.0040781 0.017325
10 25 7 0.036 20 0.079817 0.0014 0.00019824 0.017188 0.014 0.0016 0.00023768 0.017043
