k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 5 12 0.036 4 0.012444 0 0 0.0029472 0.0013905 0.00032745 0.001005 2.9025e-05 0 0.0001 1e-05 0.0032541
10 5 12 0.036 5 0.012444 0 0 0.0029401 0.0013911 0.00032051 0.0009993 2.8913e-05 0 0 0 0.0032371
10 10 6 0.036 1 0.00834252 0.8658 0.031802 0.15357 0.0016482 0.00035049 0.0049192 0.1464 1061.4 0.875 0.028504 0.15464
10 10 6 0.036 2 0.0083425 0.6541 0.095419 0.027995 0.0015435 0.00032257 0.0044384 0.021353 139.43 0.6564 0.087767 0.027204
10 10 6 0.036 3 0.0083425 0.4472 0.12147 0.01136 0.0014675 0.00024571 0.0031507 0.0061718 32.669 0.4446 0.11096 0.010673
10 10 6 0.036 4 0.0083425 0.2781 0.089079 0.0075644 0.0014751 0.00022167 0.0028444 0.0026699 11.077 0.2668 0.08198 0.0069814
10 10 6 0.036 5 0.0083425 0.1525 0.045199 0.0059185 0.0014525 0.00022598 0.0026709 0.0012369 3.864 0.1401 0.040022 0.0054719
10 10 6 0.036 6 0.0083425 0.0653 0.015441 0.0051487 0.0014517 0.0002242 0.0025933 0.00057244 1.195 0.0586 0.013159 0.0048458
10 10 6 0.036 7 0.0083425 0.0206 0.0034191 0.0047238 0.0014347 0.00022303 0.0025297 0.00024764 0.302 0.018 0.0027988 0.0045524
10 10 6 0.036 8 0.0083425 0.0048 0.00059756 0.0045193 0.0014277 0.00022222 0.0024939 9.9322e-05 0.062 0.004 0.00058458 0.0044509
10 10 6 0.036 9 0.0083425 0.0004 3.988e-05 0.0043046 0.0014226 0.00022116 0.0023975 3.9581e-05 0.005 0.0008 9.9459e-05 0.0044073
10 10 6 0.036 10 0.0083425 0 0 0.0042877 0.0014271 0.00021892 0.0023835 3.1123e-05 0 0 0 0.0043773
10 10 7 0.036 1 0.00952352 0.7889 0.046053 0.091701 0.0022788 0.00047199 0.0035024 0.085176 549.79 0.7825 0.052436 0.09141
10 10 7 0.036 2 0.0095235 0.5227 0.097752 0.017193 0.0022041 0.0003852 0.0035341 0.010707 57.047 0.5178 0.10128 0.016477
10 10 7 0.036 3 0.0095235 0.3073 0.084141 0.0088249 0.0020446 0.00031351 0.0026471 0.0034208 13.238 0.3074 0.086832 0.0081723
10 10 7 0.036 4 0.0095235 0.1533 0.04129 0.0065548 0.0020231 0.00029401 0.0024342 0.0014201 3.962 0.1581 0.042457 0.0061381
10 10 7 0.036 5 0.0095235 0.0686 0.014969 0.0056441 0.0020236 0.0003014 0.002283 0.00069024 1.247 0.0682 0.014864 0.0052923
10 10 7 0.036 6 0.0095235 0.0233 0.0040111 0.0051453 0.0020314 0.00028859 0.0022158 0.00030267 0.332 0.0228 0.003804 0.0048927
10 10 7 0.036 7 0.0095235 0.0059 0.00079599 0.0048902 0.0020137 0.00028388 0.0021721 0.00012002 0.074 0.0075 0.0011749 0.0048331
10 10 7 0.036 8 0.0095235 0.0018 0.00019696 0.0046509 0.0020126 0.00027898 0.0020468 6.5554e-05 0.019 0.0008 7.9439e-05 0.0047529
10 10 7 0.036 9 0.0095235 0.0002 1.998e-05 0.0046307 0.0020198 0.0002779 0.0020491 3.9411e-05 0.002 0.0001 1e-05 0.0047754
10 10 7 0.036 10 0.0095235 0 0 0.004766 0.0020145 0.00028162 0.0021484 3.5111e-05 0 0 0 0.0047955
10 10 8 0.036 1 0.00946146 0.7021 0.06473 0.053431 0.0026422 0.00061883 0.0026862 0.047199 282.13 0.6981 0.058805 0.053031
10 10 8 0.036 2 0.0094615 0.3993 0.085055 0.011503 0.0024366 0.00043757 0.0027022 0.0055826 23.191 0.3998 0.080621 0.010876
10 10 8 0.036 3 0.0094615 0.1958 0.049212 0.0076056 0.0024488 0.00038305 0.0023891 0.0019427 5.244 0.1908 0.047883 0.0069525
10 10 8 0.036 4 0.0094615 0.0801 0.018212 0.0061646 0.0024312 0.00037388 0.0021947 0.00079924 1.424 0.078 0.016072 0.0057546
10 10 8 0.036 5 0.0094615 0.0279 0.0050967 0.0055391 0.0024324 0.00036475 0.0020672 0.00034575 0.405 0.0239 0.0040028 0.0052861
10 10 8 0.036 6 0.0094615 0.0091 0.0013686 0.0052637 0.0024172 0.00036235 0.0020167 0.00015092 0.105 0.0062 0.00076232 0.0051483
10 10 8 0.036 7 0.0094615 0.0031 0.00038077 0.005026 0.0024176 0.00035348 0.0019014 8.9044e-05 0.034 0.0012 0.0001387 0.0051326
10 10 8 0.036 8 0.0094615 0.0005 4.98e-05 0.0049857 0.0024105 0.0003601 0.001906 4.7238e-05 0.005 0.0002 1.998e-05 0.0050796
10 10 8 0.036 9 0.0094615 0 0 0.0049621 0.0024103 0.00035298 0.001898 3.8071e-05 0 0 0 0.0051536
10 10 8 0.036 10 0.0094615 0 0 0.0051158 0.0024069 0.00035883 0.0020082 3.7428e-05 0 0 0 0.005146
10 10 9 0.036 1 0.0110265 0.561 0.069849 0.030453 0.0027341 0.00070523 0.0021544 0.024592 144.58 0.5636 0.068443 0.02962
10 10 9 0.036 2 0.011026 0.254 0.054138 0.0077985 0.0022803 0.00045288 0.0020213 0.0026394 9.437 0.2465 0.0525 0.007119
10 10 9 0.036 3 0.011026 0.0979 0.018484 0.0055931 0.0022302 0.00039322 0.0017695 0.00091928 1.83 0.092 0.019455 0.0051883
10 10 9 0.036 4 0.011026 0.0304 0.0044002 0.0048668 0.0022308 0.00036677 0.0016402 0.00033514 0.434 0.0304 0.0048607 0.0045982
10 10 9 0.036 5 0.011026 0.0086 0.00096701 0.0045732 0.0022232 0.00035525 0.0015866 0.00014073 0.101 0.0084 0.0010505 0.0043687
10 10 9 0.036 6 0.011026 0.002 0.00021622 0.0046049 0.0022845 0.00035259 0.0016253 6.1198e-05 0.021 0.0015 0.0001479 0.0042808
10 10 9 0.036 7 0.011026 0.0005 4.98e-05 0.0044288 0.002209 0.000344 0.0015711 4.4265e-05 0.005 0.0002 1.998e-05 0.0042834
10 10 9 0.036 8 0.011026 0 0 0.0042681 0.0022074 0.00034557 0.0014631 3.1407e-05 0 0 0 0.0042656
10 10 9 0.036 9 0.011026 0 0 0.0044087 0.0022104 0.00034384 0.0015691 3.1514e-05 0 0 0 0.0042519
10 10 9 0.036 10 0.011026 0 0 0.00428 0.0022036 0.00034731 0.0014764 3.1164e-05 0 0 0 0.0042592
10 10 10 0.036 1 0.0120666 0.476 0.062767 0.020418 0.0030678 0.00091654 0.0019594 0.014203 73.061 0.4682 0.062371 0.01978
10 10 10 0.036 2 0.012067 0.1652 0.030319 0.0071844 0.0026203 0.00055795 0.0018392 0.0017447 4.356 0.1705 0.031431 0.0065493
10 10 10 0.036 3 0.012067 0.0509 0.0074466 0.0055926 0.0025929 0.00049214 0.0016093 0.00056335 0.776 0.0572 0.0084766 0.0052818
10 10 10 0.036 4 0.012067 0.0126 0.0015228 0.0050502 0.002602 0.00046401 0.0015061 0.00018563 0.148 0.0146 0.0015884 0.0048627
10 10 10 0.036 5 0.012067 0.0035 0.00037813 0.0047428 0.0025906 0.00044931 0.0013825 8.1709e-05 0.038 0.0034 0.00036881 0.004732
10 10 10 0.036 6 0.012067 0.0009 8.9279e-05 0.0047087 0.0025928 0.0004473 0.0013811 5.1881e-05 0.009 0.0008 7.9439e-05 0.0046669
10 10 10 0.036 7 0.012067 0.0002 1.998e-05 0.0046902 0.0025884 0.00044038 0.001384 3.7988e-05 0.002 0.0001 1e-05 0.0047906
10 10 10 0.036 8 0.012067 0 0 0.0046943 0.0025942 0.00044108 0.0013854 3.3631e-05 0 0 0 0.0048444
10 10 10 0.036 9 0.012067 0 0 0.0048241 0.0025943 0.00044325 0.0014831 3.3679e-05 0 0 0 0.0047068
10 10 10 0.036 10 0.012067 0 0 0.0046884 0.0025969 0.0004399 0.001383 3.3617e-05 0 0 0 0.0048742
10 10 11 0.036 1 0.0132094 0.3266 0.041934 0.013835 0.0031962 0.00093374 0.0015942 0.0078374 37.239 0.3263 0.042881 0.012804
10 10 11 0.036 2 0.013209 0.0843 0.012396 0.0060558 0.0027008 0.00058597 0.0015355 0.00087669 1.669 0.081 0.01123 0.0059206
10 10 11 0.036 3 0.013209 0.0181 0.0020044 0.0049576 0.0026363 0.00053688 0.0012697 0.00023593 0.229 0.0195 0.002292 0.0051766
10 10 11 0.036 4 0.013209 0.0038 0.00042599 0.004572 0.0025203 0.00052024 0.0012233 7.1909e-05 0.038 0.0049 0.00046646 0.0049479
10 10 11 0.036 5 0.013209 0.0004 3.988e-05 0.0045734 0.0025687 0.00051727 0.0012133 3.5868e-05 0.004 0.0008 7.9439e-05 0.0044849
10 10 11 0.036 6 0.013209 0 0 0.0043696 0.0025092 0.00050891 0.0011205 2.9104e-05 0 0.0001 1e-05 0.0045775
10 10 11 0.036 7 0.013209 0 0 0.0045879 0.0026096 0.00052195 0.0011975 2.8812e-05 0 0 0 0.0048638
10 10 11 0.036 8 0.013209 0 0 0.0044817 0.0024995 0.00051692 0.0011991 2.9142e-05 0 0 0 0.0044847
10 10 11 0.036 9 0.013209 0 0 0.0045762 0.0025978 0.00051756 0.0011923 2.9029e-05 0 0 0 0.0043648
10 10 11 0.036 10 0.013209 0 0 0.0044719 0.0025152 0.00049171 0.0012018 2.8775e-05 0 0 0 0.0042935
10 10 12 0.036 1 0.0126507 0.2188 0.028515 0.011776 0.0036759 0.0010382 0.0015341 0.0052095 18.815 0.2313 0.028979 0.010939
10 10 12 0.036 2 0.012651 0.0385 0.0048126 0.0062969 0.0029956 0.00076344 0.0016263 0.00055982 0.658 0.0402 0.0049889 0.0056498
10 10 12 0.036 3 0.012651 0.0075 0.00077452 0.005363 0.0029678 0.0007163 0.0013171 0.00013458 0.086 0.008 0.00081682 0.005204
10 10 12 0.036 4 0.012651 0.0017 0.00016728 0.0051745 0.002995 0.00070804 0.0011917 5.8136e-05 0.018 0.0016 0.0001576 0.0051814
10 10 12 0.036 5 0.012651 0.0004 3.988e-05 0.0052926 0.0030068 0.00070524 0.00128 4.0606e-05 0.004 0.0001 1e-05 0.0052124
10 10 12 0.036 6 0.012651 0 0 0.0052508 0.002954 0.000708 0.0012864 4.5171e-05 0 0 0 0.0050758
10 10 12 0.036 7 0.012651 0 0 0.0053468 0.0030737 0.00070091 0.0012752 3.5216e-05 0 0 0 0.0052249
10 10 12 0.036 8 0.012651 0 0 0.0052203 0.0029481 0.00069165 0.0012872 3.2729e-05 0 0 0 0.0050704
10 10 12 0.036 9 0.012651 0 0 0.0052356 0.0030848 0.0007076 0.0011898 3.2688e-05 0 0 0 0.0051409
10 10 12 0.036 10 0.012651 0 0 0.0052167 0.0029351 0.00071065 0.0012804 3.2772e-05 0 0 0 0.005055
10 25 6 0.036 1 0.00978048 0.9796 0.0029668 0.2949 0.0036297 0.00063966 0.012917 0.2774 2213.5 0.9824 0.0022725 0.29442
10 25 6 0.036 2 0.0097805 0.9232 0.01838 0.083718 0.0033809 0.00063575 0.010139 0.069226 536.61 0.9229 0.016943 0.083451
10 25 6 0.036 3 0.0097805 0.8282 0.050735 0.03492 0.0033596 0.00062054 0.0067174 0.023901 171.71 0.8256 0.049875 0.034331
10 25 6 0.036 4 0.0097805 0.7188 0.095902 0.021959 0.0032732 0.00055198 0.0057411 0.012093 79.937 0.7169 0.095039 0.021384
10 25 6 0.036 5 0.0097805 0.6162 0.13463 0.01692 0.0032359 0.00050906 0.0053384 0.007531 46.146 0.6076 0.13626 0.016327
10 25 6 0.036 6 0.0097805 0.523 0.15777 0.014143 0.0032049 0.0004762 0.0050576 0.0050855 28.89 0.5164 0.15745 0.013634
10 25 6 0.036 7 0.0097805 0.4438 0.15838 0.012311 0.0031708 0.00044135 0.0048755 0.0035158 18.478 0.4335 0.15913 0.011829
10 25 6 0.036 8 0.0097805 0.3677 0.14193 0.011046 0.0031524 0.00041725 0.0047386 0.0024483 11.762 0.3531 0.13991 0.010565
10 25 6 0.036 9 0.0097805 0.2938 0.1162 0.010206 0.0031479 0.00040372 0.0046414 0.001719 7.369 0.2785 0.1102 0.0098598
10 25 6 0.036 10 0.0097805 0.2239 0.081881 0.0096419 0.0031528 0.00039444 0.0045714 0.0012258 4.589 0.2121 0.080204 0.009221
10 25 6 0.036 11 0.0097805 0.1611 0.055713 0.0091961 0.0031398 0.00038868 0.0044999 0.00087356 2.76 0.1525 0.052887 0.0088854
10 25 6 0.036 12 0.0097805 0.1042 0.032575 0.0088713 0.0031403 0.00038684 0.0044482 0.0006186 1.553 0.1051 0.032136 0.0086373
10 25 6 0.036 13 0.0097805 0.0645 0.017467 0.008569 0.0031316 0.00037346 0.004364 0.00043241 0.858 0.0622 0.015747 0.0084167
10 25 6 0.036 14 0.0097805 0.0367 0.0085517 0.0085375 0.0031891 0.00038417 0.0044058 0.00029413 0.451 0.0331 0.0070414 0.0082359
10 25 6 0.036 15 0.0097805 0.0192 0.0039153 0.0082826 0.0031274 0.00036347 0.0043373 0.0001827 0.226 0.017 0.0028739 0.0081126
10 25 6 0.036 16 0.0097805 0.01 0.0015415 0.0081625 0.0031287 0.00036396 0.0042901 0.00012784 0.111 0.0074 0.0010663 0.0080041
10 25 6 0.036 17 0.0097805 0.0054 0.00069153 0.0079749 0.003115 0.00036603 0.0041819 9.0281e-05 0.058 0.0036 0.00044749 0.0080033
10 25 6 0.036 20 0.0097805 0.0001 1e-05 0.008013 0.0031166 0.00036308 0.0042499 3.1404e-05 0.001 0.0001 1e-05 0.0079366
10 25 7 0.036 1 0.010011 0.9537 0.0087751 0.16292 0.0039625 0.00094004 0.0070393 0.1507 1186.3 0.9506 0.0094691 0.16267
10 25 7 0.036 2 0.010011 0.8461 0.04523 0.041085 0.0038616 0.00097417 0.0059856 0.029929 218.72 0.8487 0.04142 0.040459
