k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 100 100000 0.77096 1 0 4.5122 1 0 4.4914
10 100 200000 0.77096 1 0 8.7222 1 0 8.6397
10 100 400000 0.77096 1 0 16.709 1 0 16.688
10 200 25 1.51142 0.9615 0.01206 0.20192 0.9585 0.013341 0.20244
10 200 50 1.5114 0.9615 0.01206 0.2058 0.9585 0.013341 0.20296
10 200 100 1.5114 0.9615 0.01206 0.20266 0.9585 0.013341 0.20198
10 200 200 1.5114 0.9615 0.01206 0.20196 0.9585 0.013341 0.20183
10 200 400 1.5114 0.9617 0.011895 0.20218 0.9599 0.012615 0.20176
10 200 1000 1.5114 0.9815 0.0055533 0.27239 0.9828 0.0047089 0.27776
10 200 2000 1.5114 0.9907 0.0025461 0.35104 0.9915 0.0018596 0.35196
10 200 4000 1.5114 0.9955 0.001211 0.46596 0.9944 0.0010697 0.46598
10 200 10000 1.5114 0.9984 0.00057802 0.75078 0.9984 0.00037782 0.75193
10 200 20000 1.5114 0.999 0.0002993 1.1706 0.9997 2.994e-05 1.1628
10 200 40000 1.5114 0.9995 0.00012988 1.9224 1 0 1.9181
10 200 100000 1.5114 0.9998 1.998e-05 4.1515 1 0 4.1335
10 200 200000 1.5114 1 0 8.2791 1 0 8.2399
10 200 400000 1.5114 1 0 16.465 1 0 16.364
10 400 25 2.98823 0.9641 0.011092 0.29236 0.961 0.012512 0.28983
10 400 50 2.9882 0.9641 0.011092 0.29016 0.961 0.012512 0.29314
10 400 100 2.9882 0.9641 0.011092 0.29231 0.961 0.012512 0.28941
10 400 200 2.9882 0.9641 0.011092 0.28979 0.961 0.012512 0.28858
10 400 400 2.9882 0.9644 0.010944 0.29037 0.9622 0.012023 0.28922
10 400 1000 2.9882 0.9817 0.0054806 0.36529 0.9819 0.0050474 0.36553
10 400 2000 2.9882 0.9912 0.0025851 0.44675 0.9912 0.0022048 0.45556
10 400 4000 2.9882 0.996 0.001025 0.56544 0.9964 0.00076781 0.56883
10 400 10000 2.9882 0.9983 0.00052764 0.85139 0.9983 0.00042754 0.85195
10 400 20000 2.9882 0.9991 0.00022942 1.2588 0.9994 0.0002599 1.2692
10 400 40000 2.9882 0.9994 0.00019984 2.0083 0.9999 1e-05 2.0021
10 400 100000 2.9882 0.9997 4.996e-05 4.0875 1 0 4.0962
10 400 200000 2.9882 1 0 7.6912 1 0 7.7194
10 400 400000 2.9882 1 0 15.84 1 0 15.869
